,2019,2020,2021,2022
Price/Earnings,18.92,164.43,168.57,90.25
Price/Earnings Average,12.73,65.74,162.81,76.73
Price/Earnings High,25.65,177.48,260.27,115.78
Price/Earnings Low,3.34,20.14,100.33,38.63
Price/Book Value,-17.37,-442.10,-60.37,2085.34
Price/Book Value Average,-11.68,-176.77,-58.31,1772.93
Price/Book Value High,-23.55,-477.21,-93.21,2675.30
Price/Book Value Low,-3.06,-54.14,-35.93,892.50
Price/Tangible Book Value,14.83,52.58,162.05,70.54
Price/Tangible Book Value Average,9.97,21.02,156.51,59.97
Price/Tangible Book Value High,20.11,56.75,250.20,90.50
Price/Tangible Book Value Low,2.62,6.44,96.45,30.19
Price/Sales,4.88,28.45,17.74,15.39
Price/Sales Average,3.28,11.38,17.13,13.08
Price/Sales High,6.62,30.71,27.39,19.74
Price/Sales Low,0.86,3.48,10.56,6.58
Price/Cash Flow,21.93,101.84,69.65,48.15
Price/Cash Flow Average,14.75,40.72,67.27,40.94
Price/Cash Flow High,29.73,109.93,107.54,61.77
Price/Cash Flow Low,3.87,12.47,41.45,20.61
Price/Free Cash Flow,22.36,105.12,64.61,48.35
Price/Free Cash Flow Average,15.03,42.03,62.40,41.11
Price/Free Cash Flow High,30.31,113.47,99.76,62.03
Price/Free Cash Flow Low,3.94,12.87,38.46,20.69
EV/Sales,4.92,28.77,17.74,15.37
EV/Sales Average,3.23,11.23,17.78,13.54
EV/Sales High,6.75,31.09,28.03,20.25
EV/Sales Low,0.68,3.13,11.21,6.99
EV/EBITDA,25.71,109.40,98.75,70.33
EV/EBITDA Average,16.89,42.72,98.99,61.94
EV/EBITDA High,35.28,118.22,156.03,92.65
EV/EBITDA Low,3.53,11.90,62.42,31.98
EV/EBIT,29.16,119.51,113.59,79.51
EV/EBIT Average,19.15,46.66,113.86,70.02
EV/EBIT High,40.01,129.15,179.48,104.73
EV/EBIT Low,4.00,13.00,71.80,36.15
Last Price,26.13,175.47,182.94,264.96
High Price,35.42,189.41,282.46,339.92
Low Price,4.61,21.49,108.88,113.40
Enterprise Value,3071,22280,24516,35829
Enterprise Value Average,2017,8700,24576,31553
Enterprise Value High,4215,24078,38738,47196
Enterprise Value Low,422,2423,15497,16290
