,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,20969,29497,22087,24122,35293,36925,25690,23420,33127,27489
- Cash & Cash Equivalents,12163,15133,7584,6288,6997,5166,4537,4864,4299,3145
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,387,396,383,0,0,0,0,0,0,0
+ Total Debt,22587,19525,8871,6836,7819,5987,5137,6217,7492,11014
Enterprise Value,31780,34285,23757,24670,34966,37035,26290,24499,36315,35358
Total Capital,48556,49103,41361,3355,5449,5530,4334,4269,5042,6611
Total Debt/Capital (%),46.52,39.76,21.45,203.76,143.49,108.26,118.53,145.63,148.59,166.60
Total Debt / EV,0.71,0.57,0.37,0.28,0.22,0.16,0.20,0.25,0.21,0.31
EV/Sales,0.28,0.31,0.46,0.51,0.67,0.63,0.45,0.43,0.57,0.56
EV/EBITDA,2.49,2.61,2.97,5.78,8.01,7.64,5.33,5.18,5.67,5.86
EV/EBIT,3.90,3.89,6.05,6.27,8.72,8.57,6.28,6.22,6.47,6.73
EV/Cash Flow to Firm,2.86,2.85,3.76,8.12,8.93,7.29,5.30,5.41,5.48,7.49
EV/Free Cash Flow to Firm,2.22,2.16,2.40,7.11,8.10,6.58,4.67,4.80,5.04,6.41
Diluted Market Cap,21431,30668,22479,24559,36406,38677,26853,25503,37003,29452
Diluted Enterprise Value,32242,35456,24149,25107,37228,39498,27453,26856,40196,37321
EV per Share,16.66,18.64,13.17,14.41,21.19,23.74,18.03,18.79,33.25,36.08
TTM Sales,112298,111454,51463,48238,52056,58472,58756,56639,63487,62983
TTM EBITDA,12754,13149,7987,4265,4365,4847,4931,4729,6400,6030
TTM Operating Income,8143,8815,3926,3933,4011,4319,4187,3940,5615,5250
TTM Cash Flow to Firm,11120,12033,6314,3036,3915,5080,4956,4526,6629,4722
TTM Free Cash Flow to Firm,14319,15886,9917,3469,4317,5626,5627,5106,7211,5513
