,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1946,1947,4542,3343,5304,5309,5313,5512,5525,5542
ST Debt,0,0,1200,200,0,0,600,64,73,85
LT Debt,1946,1947,3342,3143,5304,5309,4713,5448,5452,5457
Total Debt/EBITDA,1.64,1.02,2.30,1.32,1.24,1.01,1.43,1.16,0.73,0.67
Net Debt/EBITDA,0.20,-0.56,-0.13,-0.02,0.07,0.36,0.59,0.02,0.06,0.42
Total Debt/EBIT,2.52,1.28,2.83,1.55,1.37,1.11,1.59,1.26,0.77,0.71
Net Debt/EBIT,0.30,-0.69,-0.16,-0.03,0.08,0.39,0.65,0.02,0.06,0.44
EBITDA to Interest Expense,12.45,20.00,19.17,16.39,21.59,22.45,15.67,19.75,32.18,36.09
EBITDA-CapEx/Interest Expense,10.38,17.46,17.09,14.76,19.85,19.79,13.81,18.00,29.35,32.64
EBIT to Interest Expense,8.14,16.05,15.57,13.88,19.54,20.50,14.14,18.19,30.51,34.14
Interest Expense,95,95,103,155,198,234,237,240,236,228
Common Equity/Total Assets,103.79,99.32,91.31,104.63,94.08,117.50,128.23,121.76,124.90,141.81
Long-Term Debt/Equity (%),27.45,24.64,43.90,43.55,56.73,77.63,57.38,51.50,44.52,44.75
Long-Term Debt/Capital (%),13.47,12.95,18.05,16.89,22.50,20.27,15.86,16.65,14.43,12.56
Long-Term Debt/Total Assets (%),16.16,14.78,21.83,21.55,27.31,29.87,24.77,24.37,21.11,20.42
Total Debt/Equity (%),27.45,24.64,59.66,46.32,56.73,77.63,64.68,52.11,45.11,45.45
Total Debt/Capital (%),13.47,12.95,24.52,17.97,22.50,20.27,17.88,16.84,14.62,12.76
Total Debt/Total Assets (%),16.16,14.78,29.67,22.92,27.31,29.87,27.93,24.66,21.39,20.74
Net Debt to Equity,3.32,-13.35,-3.35,-0.87,3.14,27.33,26.59,0.92,3.73,28.39
Net Debt/Capital (%),1.85,-8.77,-1.86,-0.41,1.58,8.21,8.22,0.35,1.39,8.35
EBITDA,1183,1900,1975,2541,4275,5253,3713,4741,7594,8228
EBITDA-CapEx,986,1659,1760,2288,3930,4631,3272,4319,6926,7441
Operating Income (Loss),773,1525,1604,2152,3868,4796,3350,4365,7200,7784
