,2019,2020,2021,2022
Sales/Revenue/Turnover,1133,1016,1166,1224
+ Sales & Services Revenue,1133,1016,1166,1224
- Cost of Revenue,306,313,327,346
+ Cost of Goods & Services,306,313,327,346
Gross Profit,827,703,839,878
+ Other Operating Income,0,0,0,0
- Operating Expenses,457,434,387,406
"+ Selling, General & Admin",75,75,78,80
+ Research & Development,3,10,1,1
+ Other Operating Expense,380,348,308,325
Operating Income (Loss),370,270,452,472
- Non-Operating (Income) Loss,151,222,86,-16
"+ Interest Expense, Net",138,147,139,140
+ Interest Expense,141,149,140,141
- Interest Income,3,3,1,1
+ Other Non-Op (Income) Loss,12,76,-53,-156
Pretax Income,219,47,366,488
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,219,47,366,488
- Net Extraordinary Losses (Gains),-17,5,10,10
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,-17,5,10,10
Income (Loss) Incl. MI,236,42,357,478
- Minority Interest,-4,-2,-5,-5
"Net Income, GAAP",239,45,361,483
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",239,45,361,483
Basic Weighted Avg Shares,167,169,170,171
"Basic EPS, GAAP",1.43,0.27,2.12,2.83
Basic EPS from Cont Ops,1.31,0.28,2.15,2.86
Diluted Weighted Avg Shares,168,169,171,172
"Diluted EPS, GAAP",1.43,0.26,2.12,2.81
Diluted EPS from Cont Ops,1.31,0.28,2.15,2.84
EBITDA,700,575,733,771
EBITDA Margin (%),61.80,56.58,62.82,62.99
EBITA,326,229,429,451
EBIT,370,270,452,472
Gross Margin (%),72.98,69.19,71.99,71.74
Operating Margin (%),32.64,26.53,38.78,38.59
Profit Margin (%),21.13,4.42,30.99,39.45
Sales per Employee,2518084,2357715,2699447,2750611
Dividend per Share,2.34,1.78,2.37,2.51
Depreciation Expense,374,346,303,320
