,2019,2020,2021,2022
+ Net Income,439,441,57,-41
+ Depreciation & Amortization,1069,1130,1215,1211
+ Non-Cash Items,-30,-243,-202,-9
+ Stock-Based Compensation,34,21,32,31
+ Deferred Income Taxes,-59,-102,-1,-21
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,-5,-163,-233,-18
+ Chg in Non-Cash Work Cap,-40,122,-44,-41
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,36,190,11,12
+ Inc (Dec) in Other,-77,-68,-55,-53
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1438,1450,1026,1120
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-561,-529,-433,-454
+ Acq of Fixed Prod Assets,-561,-529,-433,-454
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,-4,-287,-129,-84
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-4,-287,-129,-84
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-1021,970,-162,-321
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1585,154,-724,-859
+ Dividends Paid,-1158,-929,-687,-720
+ Net Cash From Debt,-181,165,-575,478
+ Cash From Debt,3013,733,1534,1080
+ Repayments of Debt,-3194,-568,-2110,-603
+ Cash (Repurchase) of Equity,940,55,617,0
+ Increase in Capital Stock,942,55,617,0
+ Decrease in Capital Stock,-2,-1,0,0
+ Other Financing Activities,559,-591,86,-41
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,161,-1300,-558,-284
Effect of Foreign Exchange Rates,1,1,1,-3
Net Changes in Cash,13,304,-256,-23
EBITDA,1919,1722,1637,1695
EBITDA Margin (%),49.56,45.37,42.75,41.04
Net Cash Paid for Acquisitions,4,287,129,84
Free Cash Flow,877,922,593,666
Free Cash Flow to Firm,0,0,999,0
Free Cash Flow to Equity,0,1086,18,1144
Free Cash Flow per Basic Share,2.40,2.47,1.55,1.67
Price/Free Cash Flow,10.69,0,0,11.55
Cash Flow to Net Income,3.32,3.30,20.94,-23.61
