,2019,2020,2021,2022
Total Current Assets,942,1067,755,753
"+ Cash, Cash Equivalents & STI",344,651,150,123
+ Cash & Cash Equivalents,106,413,150,123
+ ST Investments,237,238,0,0
+ Accounts & Notes Receiv,705,606,530,537
"+ Accounts Receivable, Net",279,170,177,188
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",705,606,530,537
"+ Other Receivable, Net",-279,-170,-177,-188
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,-106,-190,75,93
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,23750,22863,23963,23405
"+ Property, Plant & Equip, Net",0,0,0,0
"+ Property, Plant & Equip",0,0,0,0
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,45,444,523,580
+ LT Investments,45,444,523,580
+ LT Receivables,0,0,0,0
+ Other LT Assets,23705,22419,23439,22825
+ Total Intangible Assets,2357,2283,2416,2391
+ Goodwill,1051,1052,1046,1044
+ Other Intangible Assets,1306,1231,1370,1346
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,21348,20136,21023,20435
Total Assets,24692,23929,24718,24158
+ Payables & Accruals,1257,1245,1197,1142
+ Accounts Payable,1146,1133,1090,1032
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,111,111,107,111
+ ST Debt,849,193,336,428
+ ST Borrowings,849,193,336,428
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,-843,-190,-326,-422
+ Deferred Revenue,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,-843,-190,-326,-422
Total Current Liabilities,1262,1248,1208,1149
+ LT Debt,12410,12105,12225,12487
+ LT Borrowings,12159,11895,12028,12297
+ LT Finance Leases,251,210,197,190
+ Other LT Liabilities,475,298,340,300
+ Accrued Liabilities,201,63,59,36
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,274,235,280,265
Total Noncurrent Liabilities,12884,12403,12564,12787
Total Liabilities,14147,13651,13772,13936
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,14150,14265,15599,15640
+ Common Stock,93,94,100,100
+ Additional Paid in Capital,14056,14171,15499,15540
- Treasury Stock,0,0,0,1
+ Retained Earnings,-3669,-4030,-4680,-5449
+ Other Equity,-35,-54,-65,-37
Equity Before Minority Interest,10446,10180,10854,10153
+ Minority/Non Controlling Interest,100,98,91,69
Total Equity,10545,10278,10946,10222
Total Liabilities & Equity,24692,23929,24718,24158
Shares Outstanding,373,375,399,400
Capital Leases - Total,251,210,197,190
Net Debt,12901,11676,12214,12602
Net Debt to Equity,122.34,113.60,111.59,123.29
Tangible Common Equity Ratio,37,37,38,36
Current Ratio,0.75,0.85,0.63,0.66
Cash Conversion Cycle,0,-192.83,-177.76,-153.53
Number of Employees,516,448,434,451
