,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.77,0.54,1.47,0.92,0.35,0.50,0.74,1.16,0.51,1.12
Current Ratio,3.27,3.07,4.15,2.72,2.42,3.08,3.34,3.61,2.48,3.39
Quick Ratio,1.69,1.52,2.47,1.60,1.07,1.39,1.62,2.03,1.25,1.95
CFO/Avg Current Liab,0.54,0.66,1.24,0.92,0.40,0.85,1.07,1.06,1.60,2.12
Common Equity/Total Assets,47.96,48.22,51.98,51.12,54.39,58.53,61.42,57.12,69.03,76.69
Long-Term Debt/Equity (%),55.33,54.00,56.01,45.30,35.69,41.49,39.77,46.94,33.97,33.80
Long-Term Debt/Capital (%),36.58,35.12,35.78,29.88,25.42,27.87,26.68,30.51,20.59,20.19
Long-Term Debt/Total Assets (%),28.79,27.92,30.60,24.56,20.47,23.62,23.39,26.19,19.21,20.36
Total Debt/Equity (%),55.74,56.77,56.66,52.78,41.77,42.06,40.62,47.55,38.93,34.19
Total Debt/Capital (%),36.85,36.92,36.20,34.82,29.75,28.25,27.25,30.91,23.59,20.43
Total Debt/Total Assets (%),29.00,29.36,30.96,28.62,23.96,23.95,23.89,26.54,22.01,20.60
CFO/Total Liabilities,14.78,17.81,33.37,24.93,15.56,31.02,37.19,30.32,55.54,78.02
CFO/CapEx,0.90,2.01,5.77,2.87,2.34,2.44,1.90,1.75,3.84,5.17
Altman's Z-Score,4.43,4.50,4.29,4.60,5.18,5.11,4.69,3.96,6.28,6.44
