,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,128397,174536,165328,171557,216352,211123,255770,198023,210582,109341
- Cash & Cash Equivalents,5674,2561,15308,5560,3433,3019,4194,5865,4827,11144
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,1863
+ Total Debt,13446,13711,22670,25283,26813,26359,29001,36401,38101,42051
Enterprise Value,121756,174193,162685,179741,229163,225832,271648,210529,220270,124917
Total Capital,70459,68910,83695,91403,94970,101896,107785,118190,134372,145899
Total Debt/Capital (%),19.08,19.90,27.09,27.66,28.23,25.87,26.91,30.80,28.35,28.82
Total Debt / EV,0.11,0.08,0.14,0.14,0.12,0.12,0.11,0.17,0.17,0.34
EV/Sales,2.31,3.12,2.94,3.03,3.65,3.19,3.77,2.70,2.79,1.98
EV/EBITDA,5.92,7.20,7.05,7.97,8.66,6.99,8.17,5.83,6.50,8.13
EV/EBIT,9.72,11.14,11.33,12.18,12.51,9.72,12.11,8.82,9.98,53.47
EV/Cash Flow to Firm,5.81,8.47,8.43,8.03,10.22,7.56,8.09,5.88,7.21,7.83
EV/Free Cash Flow to Firm,3.84,5.66,6.09,5.61,6.70,5.01,5.46,4.19,4.33,3.05
Diluted Market Cap,131757,185859,171241,176816,223184,219772,266680,206310,211617,108971
Diluted Enterprise Value,139529,197009,178603,196539,246564,243112,291487,236846,244891,141741
EV per Share,24.51,36.69,34.43,38.00,48.89,50.01,63.32,51.83,54.12,30.20
TTM Sales,52708,55870,55355,59387,62761,70848,71965,77867,79024,63054
TTM EBITDA,20563,24191,23067,22550,26449,32329,33254,36115,33874,15371
TTM Operating Income,12531,15642,14356,14760,18320,23244,22428,23876,22082,2336
TTM Cash Flow to Firm,20962,20560,19288,22393,22415,29855,33573,35804,30538,15945
TTM Free Cash Flow to Firm,31709,30757,26734,32018,34193,45036,49786,50257,50867,40995
