,2019,2020,2021,2022
Market Capitalization,0,0,0,26505
- Cash & Cash Equivalents,0,994,554,1445
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,24,21,5
+ Total Debt,0,468,437,8249
Enterprise Value,0,-502,-96,33314
Total Capital,0,16058,18150,19489
Total Debt/Capital (%),0,2.91,2.41,42.33
Total Debt / EV,0,-0.93,-4.55,0.25
EV/Sales,0,0,0,1.82
EV/EBITDA,0,0,0,10.56
EV/EBIT,0,0,0,13.21
EV/Cash Flow to Firm,0,0,0,15.33
EV/Free Cash Flow to Firm,0,0,0,13.42
Diluted Market Cap,0,0,0,26506
Diluted Enterprise Value,0,-502,-96,33315
EV per Share,0,0,0,73.38
TTM Sales,16633,17164,17585,18341
TTM EBITDA,2783,3350,3420,3155
TTM Operating Income,2124,2720,2795,2522
TTM Cash Flow to Firm,2060,1737,1639,2173
TTM Free Cash Flow to Firm,2391,1996,1887,2483
