,2019,2020,2021,2022
Price/Earnings,42.88,0,0,28.57
Price/Earnings Average,38.56,0,0,28.73
Price/Earnings High,45.57,0,0,42.16
Price/Earnings Low,29.98,0,0,14.92
Price/Book Value,-13.89,0,0,-15.53
Price/Book Value Average,-12.49,0,0,-15.62
Price/Book Value High,-14.77,0,0,-22.92
Price/Book Value Low,-9.71,0,0,-8.11
Price/Tangible Book Value,2.39,0,0,2.92
Price/Tangible Book Value Average,2.15,0,0,2.94
Price/Tangible Book Value High,2.54,0,0,4.31
Price/Tangible Book Value Low,1.67,0,0,1.52
Price/Sales,9.15,0,0,8.96
Price/Sales Average,8.23,0,0,9.01
Price/Sales High,9.72,0,0,13.23
Price/Sales Low,6.40,0,0,4.68
Price/Cash Flow,19.21,0,0,17.11
Price/Cash Flow Average,17.28,0,0,17.20
Price/Cash Flow High,20.42,0,0,25.24
Price/Cash Flow Low,13.43,0,0,8.94
Price/Free Cash Flow,15.49,0,0,13.39
Price/Free Cash Flow Average,13.93,0,0,13.47
Price/Free Cash Flow High,16.46,0,0,19.76
Price/Free Cash Flow Low,10.83,0,0,7.00
EV/Sales,12.06,2.94,2.62,11.24
EV/Sales Average,11.13,2.94,2.62,11.29
EV/Sales High,12.64,2.94,2.62,15.51
EV/Sales Low,9.30,2.94,2.62,6.96
EV/EBITDA,21.33,5.25,4.65,19.36
EV/EBITDA Average,19.69,5.25,4.65,19.45
EV/EBITDA High,22.35,5.25,4.65,26.71
EV/EBITDA Low,16.44,5.25,4.65,11.98
EV/EBIT,46.00,11.52,10.01,36.11
EV/EBIT Average,42.47,11.52,10.01,36.27
EV/EBIT High,48.20,11.52,10.01,49.82
EV/EBIT Low,35.47,11.52,10.01,22.34
Last Price,131.86,0,0,156.99
High Price,140.15,0,0,231.63
Low Price,92.19,0,0,82.00
Enterprise Value,19790,4926,4651,22710
Enterprise Value Average,18272,4926,4651,22811
Enterprise Value High,20737,4926,4651,31330
Enterprise Value Low,15257,4926,4651,14050
