,2019,2020,2021,2022
Market Capitalization,15065,0,0,18129
- Cash & Cash Equivalents,20,25,54,39
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,221,217,189,185
+ Total Debt,4525,4735,4517,4435
Enterprise Value,19790,4926,4651,22710
Total Capital,3661,3658,3451,3453
Total Debt/Capital (%),123.58,129.42,130.89,128.45
Total Debt / EV,0.23,0.96,0.97,0.20
EV/Sales,12.06,2.94,2.62,11.24
EV/EBITDA,21.33,5.25,4.65,19.36
EV/EBIT,46.00,11.52,10.01,36.11
EV/Cash Flow to Firm,20.63,4.98,4.44,18.70
EV/Free Cash Flow to Firm,17.21,4.05,3.50,15.03
Diluted Market Cap,15047,0,0,18145
Diluted Enterprise Value,19772,4926,4651,22726
EV per Share,173.22,43.07,40.33,196.66
TTM Sales,1641,1678,1778,2020
TTM EBITDA,928,939,999,1173
TTM Operating Income,430,428,465,629
TTM Cash Flow to Firm,959,989,1048,1215
TTM Free Cash Flow to Firm,1150,1215,1328,1511
