,2019,2020,2021,2022
Cash Ratio,0.04,0.05,0.09,0.06
Current Ratio,0.15,0.07,0.22,0.10
Quick Ratio,0.04,0.05,0.09,0.06
CFO/Avg Current Liab,0,1.65,1.61,1.76
Common Equity/Total Assets,-9.66,-11.55,-11.12,-10.38
Long-Term Debt/Equity (%),70.67,74.75,73.04,71.09
Long-Term Debt/Capital (%),121.67,124.72,130.89,127.87
Long-Term Debt/Total Assets (%),39.67,40.76,40.02,39.27
Total Debt/Equity (%),71.78,77.57,73.04,71.41
Total Debt/Capital (%),123.58,129.42,130.89,128.45
Total Debt/Total Assets (%),40.29,42.29,40.02,39.45
CFO/Total Liabilities,15.86,16.18,17.54,21.04
CFO/CapEx,4.11,3.65,3.20,3.57
Altman's Z-Score,1.93,0.06,0.09,2.32
