,2019,2020,2021,2022
Cash Ratio,0.11,1.48,0.17,0.41
Current Ratio,0.72,3.30,1.66,2.00
Quick Ratio,0.69,2.84,1.61,1.94
CFO/Avg Current Liab,0,0.75,0.98,0.86
Common Equity/Total Assets,-13.36,-14.15,-15.09,-16.41
Long-Term Debt/Equity (%),81.27,82.54,75.55,69.94
Long-Term Debt/Capital (%),111.55,130.77,133.26,151.98
Long-Term Debt/Total Assets (%),41.34,43.77,41.11,39.49
Total Debt/Equity (%),90.62,82.54,77.26,69.94
Total Debt/Capital (%),124.38,130.77,136.27,151.98
Total Debt/Total Assets (%),46.10,43.77,42.04,39.49
CFO/Total Liabilities,9.37,8.94,8.01,8.05
CFO/CapEx,100.57,78.11,65.90,43.58
Altman's Z-Score,1.28,0.09,0.02,1.20
