,2019,2020,2021,2022
Price/Earnings,26.67,0,0,214.54
Price/Earnings Average,26.62,0,0,237.15
Price/Earnings High,30.38,0,0,325.43
Price/Earnings Low,21.79,0,0,79.43
Price/Book Value,-7.53,0,0,-5.17
Price/Book Value Average,-7.51,0,0,-5.72
Price/Book Value High,-8.57,0,0,-7.84
Price/Book Value Low,-6.15,0,0,-1.91
Price/Tangible Book Value,2.19,0,0,1.66
Price/Tangible Book Value Average,2.19,0,0,1.83
Price/Tangible Book Value High,2.50,0,0,2.52
Price/Tangible Book Value Low,1.79,0,0,0.61
Price/Sales,6.42,0,0,5.17
Price/Sales Average,6.41,0,0,5.71
Price/Sales High,7.31,0,0,7.84
Price/Sales Low,5.24,0,0,1.91
Price/Cash Flow,21.40,0,0,22.80
Price/Cash Flow Average,21.36,0,0,25.20
Price/Cash Flow High,24.38,0,0,34.59
Price/Cash Flow Low,17.48,0,0,8.44
Price/Free Cash Flow,21.29,0,0,22.43
Price/Free Cash Flow Average,21.26,0,0,24.80
Price/Free Cash Flow High,24.25,0,0,34.03
Price/Free Cash Flow Low,17.39,0,0,8.31
EV/Sales,9.78,3.02,3.33,8.12
EV/Sales Average,9.77,3.02,3.33,8.70
EV/Sales High,10.69,3.02,3.33,10.95
EV/Sales Low,8.58,3.02,3.33,4.66
EV/EBITDA,21.76,7.75,8.53,21.95
EV/EBITDA Average,21.74,7.75,8.53,23.51
EV/EBITDA High,23.79,7.75,8.53,29.62
EV/EBITDA Low,19.09,7.75,8.53,12.61
EV/EBIT,39.79,18.64,19.81,57.28
EV/EBIT Average,39.75,18.64,19.81,61.36
EV/EBIT High,43.50,18.64,19.81,77.28
EV/EBIT Low,34.92,18.64,19.81,32.90
Last Price,81.78,0,0,65.55
High Price,93.17,0,0,99.43
Low Price,66.82,0,0,24.27
Enterprise Value,50097,13924,15770,47584
Enterprise Value Average,50046,13924,15770,50973
Enterprise Value High,54770,13924,15770,64203
Enterprise Value Low,43959,13924,15770,27336
