,2019,2020,2021,2022
Market Capitalization,33551,0,0,32153
- Cash & Cash Equivalents,285,1545,269,632
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,1442,1252,1362,1099
+ Total Debt,15389,14217,14677,14964
Enterprise Value,50097,13924,15770,47584
Total Capital,12372,10872,10770,9846
Total Debt/Capital (%),124.38,130.77,136.27,151.98
Total Debt / EV,0.31,1.02,0.93,0.31
EV/Sales,9.78,3.02,3.33,8.12
EV/EBITDA,21.76,7.75,8.53,21.95
EV/EBIT,39.79,18.64,19.81,57.28
EV/Cash Flow to Firm,23.99,6.82,9.06,25.92
EV/Free Cash Flow to Firm,23.81,6.76,8.96,25.49
Diluted Market Cap,33023,0,0,30491
Diluted Enterprise Value,49569,13924,15770,45923
EV per Share,122.11,33.36,35.26,97.01
TTM Sales,5121,4606,4742,5861
TTM EBITDA,2302,1797,1849,2168
TTM Operating Income,1259,747,796,831
TTM Cash Flow to Firm,2089,2042,1740,1836
TTM Free Cash Flow to Firm,2104,2059,1760,1867
