,2019,2020,2021,2022
Cash Ratio,4.10,0.65,0.73,2.98
Current Ratio,6.54,1.36,1.73,4.96
Quick Ratio,6.54,1.20,1.73,4.96
CFO/Avg Current Liab,0,3.91,2.60,4.96
Common Equity/Total Assets,-6.99,-6.66,-7.05,-8.73
Long-Term Debt/Equity (%),90.52,101.77,96.87,100.89
Long-Term Debt/Capital (%),111.73,111.38,106.33,115.96
Long-Term Debt/Total Assets (%),45.89,48.90,46.29,48.29
Total Debt/Equity (%),91.38,101.77,102.37,101.77
Total Debt/Capital (%),112.78,111.38,112.36,116.97
Total Debt/Total Assets (%),46.32,48.90,48.92,48.71
CFO/Total Liabilities,14.67,11.95,13.34,15.12
CFO/CapEx,9.04,8.92,7.47,5.98
Altman's Z-Score,2.08,0.14,0.13,1.44
