,2019,2020,2021,2022
Market Capitalization,19884,0,0,13691
- Cash & Cash Equivalents,81,84,59,43
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,220,215,218,206
+ Total Debt,5886,6326,6358,6027
Enterprise Value,25765,6309,6325,19768
Total Capital,5218,5679,5659,5153
Total Debt/Capital (%),112.78,111.38,112.36,116.97
Total Debt / EV,0.23,1.00,1.01,0.30
EV/Sales,17.65,4.22,4.39,12.30
EV/EBITDA,26.42,6.60,6.97,18.96
EV/EBIT,52.42,14.68,16.34,39.28
EV/Cash Flow to Firm,22.86,6.23,5.79,16.79
EV/Free Cash Flow to Firm,20.96,5.72,5.21,14.75
Diluted Market Cap,19839,0,0,13796
Diluted Enterprise Value,25864,6457,6517,19986
EV per Share,389.84,97.06,96.94,305.99
TTM Sales,1460,1496,1441,1607
TTM EBITDA,975,955,907,1043
TTM Operating Income,492,430,387,503
TTM Cash Flow to Firm,1127,1012,1092,1177
TTM Free Cash Flow to Firm,1229,1103,1213,1341
