,2020,2021,2022,2023
Sales/Revenue/Turnover,12303,12909,13974,14913
+ Sales & Services Revenue,12303,12909,13974,14913
- Cost of Revenue,0,0,0,0
+ Cost of Goods & Services,0,0,0,0
Gross Profit,12303,12909,13974,14913
+ Other Operating Income,0,0,0,0
- Operating Expenses,9806,10144,11400,12149
"+ Selling, General & Admin",1741,1807,1920,2049
+ Research & Development,0,0,0,0
+ Other Operating Expense,8065,8337,9480,10100
Operating Income (Loss),2497,2765,2574,2764
- Non-Operating (Income) Loss,1033,-153,880,1028
"+ Interest Expense, Net",334,391,365,218
+ Interest Expense,369,395,371,218
- Interest Income,35,4,6,0
+ Other Non-Op (Income) Loss,699,-544,515,810
Pretax Income,1464,2918,1694,1736
- Income Tax Expense (Benefit),402,717,461,483
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,1062,2201,1233,1253
- Net Extraordinary Losses (Gains),126,102,56,28
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,126,102,56,28
Income (Loss) Incl. MI,936,2099,1177,1225
- Minority Interest,-63,-51,-28,-14
"Net Income, GAAP",999,2150,1205,1239
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",999,2150,1205,1239
Basic Weighted Avg Shares,613,591,566,531
"Basic EPS, GAAP",1.63,3.64,2.13,2.33
Basic EPS from Cont Ops,1.73,3.72,2.18,2.36
Diluted Weighted Avg Shares,616,595,570,531
"Diluted EPS, GAAP",1.62,3.61,2.11,2.33
Diluted EPS from Cont Ops,1.72,3.70,2.16,2.36
EBITDA,2755,3065,2937,3175
EBITDA Margin (%),22.39,23.74,21.02,21.29
EBITA,2497,2765,2574,2764
EBIT,2497,2765,2574,2764
Gross Margin (%),100.00,100.00,100.00,100.00
Operating Margin (%),20.30,21.42,18.42,18.53
Profit Margin (%),8.12,16.66,8.62,8.31
Sales per Employee,1367000,1434333,1318302,0
Dividend per Share,0.55,0.56,0.54,0.56
Depreciation Expense,258,300,363,411
