,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7204,6854,8424,9684,11311,10233,14395,12907,13963,8430
- Cash & Cash Equivalents,682,893,977,1282,1581,1182,4580,1450,1019,513
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,45,43,40,23,0,0,0,24,24,29
+ Total Debt,1397,1812,1712,1721,1849,1705,4047,5099,4025,3967
Enterprise Value,7964,7816,9199,10145,11579,10755,13862,16581,16993,11913
Total Capital,4979,5590,5709,5997,6214,5994,8512,9438,8417,8177
Total Debt/Capital (%),28.05,32.42,29.98,28.70,29.75,28.44,47.55,54.03,47.82,48.51
Total Debt / EV,0.18,0.23,0.19,0.17,0.16,0.16,0.29,0.31,0.24,0.33
EV/Sales,1.95,1.83,2.07,2.02,2.22,2.35,2.94,3.03,2.65,2.03
EV/EBITDA,11.45,9.30,10.34,10.37,11.37,19.81,15.09,12.08,9.54,9.78
EV/EBIT,17.05,12.30,13.29,12.87,14.29,32.49,21.26,23.02,19.48,27.72
EV/Cash Flow to Firm,16.37,14.87,14.73,11.94,14.96,14.94,18.67,14.84,17.84,23.56
EV/Free Cash Flow to Firm,13.31,12.23,12.00,10.10,12.74,12.50,15.83,13.34,15.66,17.52
Diluted Market Cap,7244,7149,8551,9877,11546,10295,13516,12934,13981,8474
Diluted Enterprise Value,8004,8111,9327,10338,11813,10817,12982,16608,17011,11957
EV per Share,60.77,62.76,73.71,81.50,93.04,85.27,101.28,120.76,122.94,86.21
TTM Sales,4082,4277,4448,5020,5210,4580,4720,5465,6420,5857
TTM EBITDA,696,840,890,978,1018,543,918,1372,1781,1218
TTM Operating Income,467,635,692,788,810,331,652,720,872,430
TTM Cash Flow to Firm,486,526,624,850,774,720,742,1117,952,506
TTM Free Cash Flow to Firm,598,639,766,1005,909,860,876,1243,1085,680
