,2018,2019,2020,2021,2022
Return on Common Equity (%),0,56.96,17.44,-11.47,-2.36
Return on Assets (%),0,4.59,1.21,-0.43,-0.34
Return on Capital (%),0,18.46,6.32,-4.34,0
Return on Invested Capital (%),0,7.88,0.75,0.74,0
Gross Margin (%),16.05,17.70,16.19,14.92,8.74
EBITDA Margin (%),21.25,23.03,22.05,21.47,11.95
Operating Margin (%),4.54,6.85,1.39,-1.63,2.02
Incremental Operating Margin (%),0,-24.39,79.56,0,17.01
Pretax Margin (%),1.79,10.13,4.75,0.77,-2.22
Profit Margin (%),1.81,5.94,3.35,-1.04,-0.65
Net Income to Common Margin (%),1.81,5.94,3.35,-1.04,-0.65
Effective Tax Rate (%),0,26.92,29.78,148.03,0
Dvd Payout Ratio (%),193.99,68.68,304.75,4697.44,-106.32
Sustainable Growth Rate (%),0,17.84,-35.71,527.55,-4.87
