,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,0,28191
- Cash & Cash Equivalents,0,303,226,504,422
+ Preferred Equity and Hybrid Capital,0,0,0,0,0
+ Minority/Non Controlling Interest,0,2346,2277,395,354
+ Total Debt,0,8294,7212,8196,5768
Enterprise Value,0,10337,9263,8087,33891
Total Capital,0,14590,12294,9359,18900
Total Debt/Capital (%),0,56.85,58.66,87.57,30.52
Total Debt / EV,0,0.80,0.78,1.01,0.17
EV/Sales,0,0.55,0.53,0.41,1.39
EV/EBITDA,0,2.37,2.39,1.92,11.60
EV/EBIT,0,7.98,37.81,0,68.60
EV/Cash Flow to Firm,0,3.24,11.10,0,0
EV/Free Cash Flow to Firm,0,2.05,3.59,0,0
Diluted Market Cap,0,0,0,0,28191
Diluted Enterprise Value,0,10337,9263,8087,33891
EV per Share,0,31.71,28.41,24.81,103.64
TTM Sales,20437,18924,17603,19649,24440
TTM EBITDA,4342,4359,3881,4219,2921
TTM Operating Income,927,1296,245,-321,494
TTM Cash Flow to Firm,4421,3187,835,-1481,-2282
TTM Free Cash Flow to Firm,6663,5032,2582,-152,-593
