,2019,2020,2021,2022
Cash Ratio,0.97,0.37,0.27,0.05
Current Ratio,1.92,1.36,0.96,0.13
Quick Ratio,1.18,0.61,0.56,0.15
CFO/Avg Current Liab,0,2.15,1.63,1.00
Common Equity/Total Assets,-5.36,-4.26,-2.26,-0.51
Long-Term Debt/Equity (%),46.77,47.25,46.82,41.26
Long-Term Debt/Capital (%),88.87,88.63,83.27,80.51
Long-Term Debt/Total Assets (%),30.46,30.61,30.22,27.16
Total Debt/Equity (%),47.47,47.73,48.13,43.92
Total Debt/Capital (%),90.21,89.52,85.59,85.70
Total Debt/Total Assets (%),30.92,30.92,31.06,28.91
CFO/Total Liabilities,16.22,14.88,14.44,13.74
CFO/CapEx,0,0,0,0
Altman's Z-Score,2.54,0.12,0.14,2.15
