,2019,2020,2021,2022
Cash Ratio,0.06,0.34,0.66,0.93
Current Ratio,0.26,0.56,0.94,1.17
Quick Ratio,0.06,0.37,0.69,0.93
CFO/Avg Current Liab,0,1.92,1.88,2.20
Common Equity/Total Assets,1.49,0.66,1.22,2.38
Long-Term Debt/Equity (%),66.37,70.33,74.10,73.88
Long-Term Debt/Capital (%),96.21,98.31,97.06,94.44
Long-Term Debt/Total Assets (%),38.16,39.40,40.72,40.65
Total Debt/Equity (%),66.37,70.33,74.10,73.88
Total Debt/Capital (%),96.21,98.31,97.06,94.44
Total Debt/Total Assets (%),38.16,39.40,40.72,40.65
CFO/Total Liabilities,16.26,14.44,13.42,15.45
CFO/CapEx,9.38,8.90,7.85,8.14
Altman's Z-Score,2.43,0.23,0.23,1.76
