,2019,2020,2021,2022
Market Capitalization,29493,0,0,22599
- Cash & Cash Equivalents,40,217,420,613
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,3,3,3,3
+ Total Debt,7296,7564,8104,8316
Enterprise Value,36753,7350,7687,30305
Total Capital,7584,7694,8349,8805
Total Debt/Capital (%),96.21,98.31,97.06,94.44
Total Debt / EV,0.20,1.03,1.05,0.27
EV/Sales,15.81,3.19,3.35,11.69
EV/EBITDA,24.53,5.18,5.61,19.14
EV/EBIT,43.92,10.35,12.55,39.42
EV/Cash Flow to Firm,24.15,5.12,5.40,18.38
EV/Free Cash Flow to Firm,22.10,4.68,4.88,16.62
Diluted Market Cap,29268,0,0,22609
Diluted Enterprise Value,36528,7350,7687,30314
EV per Share,261.32,52.68,55.00,216.59
TTM Sales,2325,2301,2295,2593
TTM EBITDA,1498,1418,1371,1584
TTM Operating Income,837,710,613,769
TTM Cash Flow to Firm,1522,1435,1422,1649
TTM Free Cash Flow to Firm,1663,1572,1576,1824
