,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,8894,9921,10153,11389,12303,12909,13974
+ Sales & Services Revenue,8894,9921,10153,11389,12303,12909,13974
- Cost of Revenue,0,0,0,0,0,0,0
+ Cost of Goods & Services,0,0,0,0,0,0,0
Gross Profit,8894,9921,10153,11389,12303,12909,13974
+ Other Operating Income,0,0,0,0,0,0,0
- Operating Expenses,6920,7386,7938,8958,9806,10144,11400
"+ Selling, General & Admin",1191,1117,1262,1419,1741,1807,1920
+ Research & Development,0,0,0,0,0,0,0
+ Other Operating Expense,5729,6269,6676,7539,8065,8337,9480
Operating Income (Loss),1974,2535,2215,2431,2497,2765,2574
- Non-Operating (Income) Loss,131,294,45,207,1033,-153,880
"+ Interest Expense, Net",18,23,43,162,334,391,365
+ Interest Expense,18,23,43,203,369,395,371
- Interest Income,0,0,0,41,35,4,6
+ Other Non-Op (Income) Loss,113,271,2,45,699,-544,515
Pretax Income,1843,2241,2170,2224,1464,2918,1694
- Income Tax Expense (Benefit),736,832,-58,581,402,717,461
- (Income) Loss from Affiliates,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,1107,1409,2228,1643,1062,2201,1233
- Net Extraordinary Losses (Gains),70,74,82,96,126,102,56
+ Discontinued Operations,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,70,74,82,96,126,102,56
Income (Loss) Incl. MI,1037,1335,2146,1547,936,2099,1177
- Minority Interest,-35,-37,-41,-48,-63,-51,-28
"Net Income, GAAP",1072,1372,2187,1595,999,2150,1205
- Preferred Dividends,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",1072,1372,2187,1595,999,2150,1205
Basic Weighted Avg Shares,620,620,620,621,613,591,566
"Basic EPS, GAAP",1.73,2.21,3.53,2.57,1.63,3.64,2.13
Basic EPS from Cont Ops,1.79,2.27,3.59,2.65,1.73,3.72,2.18
Diluted Weighted Avg Shares,620,620,620,621,616,595,570
"Diluted EPS, GAAP",1.73,2.21,3.53,2.57,1.62,3.61,2.11
Diluted EPS from Cont Ops,1.79,2.27,3.59,2.65,1.72,3.70,2.16
EBITDA,2144,2704,2386,2643,2755,3065,2937
EBITDA Margin (%),24.11,27.26,23.50,23.21,22.39,23.74,21.02
EBITA,1974,2535,2215,2431,2497,2765,2574
EBIT,1974,2535,2215,2431,2497,2765,2574
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00
Operating Margin (%),22.19,25.55,21.82,21.35,20.30,21.42,18.42
Profit Margin (%),12.05,13.83,21.54,14.00,8.12,16.66,8.62
Sales per Employee,0,0,1335921,1479091,1367000,1434333,1318302
Dividend per Share,0.06,0.06,0.12,10.77,0.55,0.56,0.54
Depreciation Expense,170,169,171,212,258,300,363
