,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,14742,17571,14589,18382,25349,20917,31071,30585,43254,33847
- Cash & Cash Equivalents,594,566,609,1418,570,403,538,3218,1427,1209
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,-87,-38,-34,-50,3,7,10,4,2,4
+ Total Debt,12723,11692,10547,10812,6602,7282,9163,11628,9776,9691
Enterprise Value,26784,28659,24493,27726,31384,27803,39706,38999,51605,42333
Total Capital,7315,7006,7131,7449,12,875,3211,4903,3459,4508
Total Debt/Capital (%),173.93,166.89,147.90,145.15,55016.67,832.23,285.36,237.16,282.63,214.97
Total Debt / EV,0.48,0.41,0.43,0.39,0.21,0.26,0.23,0.30,0.19,0.23
EV/Sales,2.75,2.73,2.17,2.38,3.43,3.12,4.20,9.05,8.92,4.83
EV/EBITDA,15.71,12.46,9.93,10.86,18.26,15.82,20.66,183.96,42.83,18.76
EV/EBIT,24.31,17.13,13.81,14.85,22.87,19.42,25.19,0,50.74,20.22
EV/Cash Flow to Firm,10.67,16.53,12.64,18.24,21.23,18.30,23.65,37.42,129.81,21.36
EV/Free Cash Flow to Firm,9.14,13.02,10.27,14.05,18.61,16.56,21.08,34.38,108.29,20.31
Diluted Market Cap,13808,17596,14612,18421,26114,21640,32297,30740,43549,35002
Diluted Enterprise Value,25850,28684,24516,27765,32149,28526,40932,39154,51900,43488
EV per Share,81.61,87.32,74.41,84.19,98.87,94.31,142.32,140.49,184.90,158.04
TTM Sales,9735,10502,11272,11663,9140,8906,9452,4307,5788,8773
TTM EBITDA,1705,2301,2466,2553,1719,1757,1922,212,1205,2256
TTM Operating Income,1102,1673,1774,1867,1372,1432,1576,-119,1017,2094
TTM Cash Flow to Firm,2510,1733,1938,1520,1479,1520,1679,1042,398,1982
TTM Free Cash Flow to Firm,2930,2200,2384,1973,1687,1679,1884,1134,477,2084
