,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,328,328,329,329,317,295,279,278,279,268
Diluted Weighted Avg Shares,307,329,330,330,327,305,290,279,281,277
Basic Weighted Avg Shares,307,328,329,329,324,302,287,277,279,275
Revenue per Share,31.67,31.99,34.30,35.45,28.21,29.49,32.93,15.55,20.75,31.90
EBITDA per Share,5.55,7.01,7.50,7.76,5.31,5.82,6.70,0.77,4.32,8.20
Operating Income per Share,3.58,5.10,5.40,5.67,4.23,4.74,5.49,-0.43,3.65,7.61
"Basic EPS, GAAP",1.35,2.05,4.27,1.06,3.89,2.53,3.07,-2.58,1.47,4.56
Basic EPS from Cont Ops,1.50,2.08,4.31,1.11,3.90,2.55,3.09,-2.60,1.46,4.57
"Diluted EPS, GAAP",1.35,2.05,4.26,1.05,3.85,2.50,3.04,-2.56,1.46,4.53
Diluted EPS from Cont Ops,1.50,2.08,4.30,1.10,3.87,2.52,3.06,-2.58,1.45,4.54
Dividend per Share,0,0,0.42,0.84,0.60,0.60,0.60,0.15,0,0.45
Cash Flow per Share,6.83,4.16,4.24,4.10,2.85,4.16,4.82,2.56,0.39,6.11
Free Cash Flow per Basic Share,5.47,2.74,2.88,2.73,2.21,3.63,4.11,2.22,0.11,5.74
Cash & Equivalents per Share,1.81,1.72,1.85,4.31,1.80,1.37,1.93,11.59,5.11,4.51
Book Value per Share,-16.21,-14.16,-10.27,-10.06,-20.77,-21.76,-21.37,-24.24,-22.64,-19.36
Tangible Book Value per Share,-27.91,-25.54,-20.02,-19.27,-29.45,-36.49,-41.97,-44.68,-42.01,-44.87
