,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,345,1382,1350,1334,1173,2023,1826,2030,1711,2763
ST Debt,43,102,240,226,23,37,564,409,83,413
LT Debt,302,1281,1110,1107,1149,1986,1263,1621,1628,2351
Total Debt/EBITDA,0.74,3.11,3.15,2.55,1.90,2.88,2.26,3.39,2.10,3.24
Net Debt/EBITDA,0.57,3.05,3.12,2.36,1.76,2.77,2.15,2.80,1.70,3.08
Total Debt/EBIT,1.01,4.51,5.70,4.12,2.73,4.73,3.46,6.51,3.38,5.44
Net Debt/EBIT,0.78,4.43,5.63,3.80,2.53,4.55,3.29,5.38,2.73,5.17
EBITDA to Interest Expense,50.88,55.83,23.65,19.94,18.49,8.50,11.89,16.27,35.29,14.90
EBITDA-CapEx/Interest Expense,31.45,25.94,10.22,14.12,14.68,6.15,7.59,7.84,26.00,10.68
EBIT to Interest Expense,37.20,38.48,13.07,12.37,12.85,5.17,7.76,8.47,21.90,8.86
Interest Expense,9,8,18,26,33,83,68,37,23,57
Common Equity/Total Assets,41.98,35.53,40.01,45.93,50.21,42.23,48.32,48.49,64.62,57.35
Long-Term Debt/Equity (%),12.45,49.48,41.49,41.02,36.19,60.03,34.80,42.37,23.45,32.77
Long-Term Debt/Capital (%),17.95,42.91,35.32,32.67,31.82,43.13,25.99,30.59,20.56,25.13
Long-Term Debt/Total Assets (%),9.62,28.73,24.87,24.74,23.65,32.48,20.12,24.05,16.95,20.46
Total Debt/Equity (%),14.22,53.40,50.49,49.40,36.93,61.15,50.33,53.07,24.64,38.52
Total Debt/Capital (%),20.51,46.31,42.98,39.35,32.46,43.93,37.59,38.32,21.60,29.54
Total Debt/Total Assets (%),10.99,31.01,30.26,29.80,24.14,33.09,29.11,30.13,17.81,24.05
Net Debt to Equity,11.03,52.43,49.87,45.66,34.13,58.80,47.88,43.85,19.92,36.59
Net Debt/Capital (%),16.67,45.85,42.68,37.49,30.76,42.97,36.43,32.37,17.68,28.49
EBITDA,466,445,428,522,618,703,809,599,815,854
EBITDA-CapEx,288,207,185,370,490,509,516,289,601,612
Operating Income (Loss),341,306,237,324,429,428,528,312,506,508
