,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.25,0.27,0.27,0.25,0.17
Current Ratio,0,1.06,1.05,0.97,1.32,0.90
Quick Ratio,0,0.89,0.90,0.81,0.86,0.76
CFO/Avg Current Liab,0,0.58,0.28,0.25,0.27,0.24
Common Equity/Total Assets,0,24.93,25.37,-28.17,-17.40,-27.53
Long-Term Debt/Equity (%),0,0,16.60,0,0,0
Long-Term Debt/Capital (%),0,0,10.59,142.72,124.08,139.84
Long-Term Debt/Total Assets (%),0,0,3.98,52.56,61.77,65.31
Total Debt/Equity (%),0,1.22,24.08,-197.75,-254.99,-151.87
Total Debt/Capital (%),0,0.92,15.37,160.50,124.47,154.45
Total Debt/Total Assets (%),0,0.30,5.78,59.10,61.97,72.14
CFO/Total Liabilities,0,22.40,19.96,10.64,11.47,10.77
CFO/CapEx,10.90,9.01,10.13,8.09,11.22,13.57
Altman's Z-Score,0,2.81,2.58,1.61,2.01,3.32
