,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,0,0,32483
- Cash & Cash Equivalents,0,1329,1446,1782,1565,1189
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,646,626,631,641,206
+ Total Debt,0,27,560,6330,7609,7083
Enterprise Value,0,-656,-260,5179,6685,38583
Total Capital,0,2950,3644,3944,6113,4586
Total Debt/Capital (%),0,0.92,15.37,160.50,124.47,154.45
Total Debt / EV,0,-0.04,-2.15,1.22,1.14,0.18
EV/Sales,0,0,0,0.41,0.47,2.82
EV/EBITDA,0,0,0,2.83,2.89,17.35
EV/EBIT,0,0,0,3.16,3.17,18.98
EV/Cash Flow to Firm,0,0,0,3.71,4.05,26.49
EV/Free Cash Flow to Firm,0,0,0,3.28,3.70,24.55
Diluted Market Cap,0,0,0,0,0,33125
Diluted Enterprise Value,0,-656,-260,5179,6685,39225
EV per Share,0,0,0,11.95,15.73,93.02
TTM Sales,12323,12915,13118,12756,14298,13685
TTM EBITDA,2093,2025,1994,1830,2311,2224
TTM Operating Income,1916,1835,1814,1639,2108,2033
TTM Cash Flow to Firm,1467,1574,1496,1395,1652,1456
TTM Free Cash Flow to Firm,1600,1746,1641,1578,1808,1571
