,2019,2020,2021,2022
Total Current Assets,1611,1609,3211,2746
"+ Cash, Cash Equivalents & STI",501,495,1879,1581
+ Cash & Cash Equivalents,139,495,1879,1581
+ ST Investments,362,0,0,0
+ Accounts & Notes Receiv,407,532,607,399
"+ Accounts Receivable, Net",309,450,507,357
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",98,82,100,42
+ Inventories,416,443,520,550
+ Raw Materials,261,246,281,313
+ Work In Process,0,0,0,0
+ Finished Goods,47,88,91,88
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,108,109,148,149
+ Other ST Assets,287,139,205,216
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,14795,14702,14517,14594
"+ Property, Plant & Equip, Net",-1097,-1078,-1105,-1103
"+ Property, Plant & Equip",2380,2354,2487,2607
- Accumulated Depreciation,3477,3432,3592,3710
+ LT Investments & Receivables,0,0,0,0
+ LT Investments,0,0,0,0
+ LT Receivables,0,0,0,0
+ Other LT Assets,15892,15780,15622,15697
+ Total Intangible Assets,0,0,0,0
+ Goodwill,0,0,0,0
+ Other Intangible Assets,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,15892,15780,15622,15697
Total Assets,16406,16311,17728,17340
+ Payables & Accruals,776,800,1030,758
+ Accounts Payable,246,204,281,247
+ Accrued Taxes,24,75,106,23
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,506,521,643,488
+ ST Debt,230,150,24,982
+ ST Borrowings,230,150,0,982
+ ST Finance Leases,33,26,24,22
+ Other ST Liabilities,0,0,-24,0
+ Deferred Revenue,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,0,0,-24,0
Total Current Liabilities,1006,950,1030,1740
+ LT Debt,6147,5325,5099,4071
+ LT Borrowings,6147,5325,5099,4071
+ LT Finance Leases,0,0,0,0
+ Other LT Liabilities,1076,1305,832,780
+ Accrued Liabilities,699,935,486,440
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,377,370,346,340
Total Noncurrent Liabilities,7223,6630,5931,4851
Total Liabilities,8229,7580,6961,6591
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,932,934,934,916
+ Common Stock,932,934,934,916
+ Additional Paid in Capital,0,0,0,0
- Treasury Stock,0,0,0,0
+ Retained Earnings,-3,411,2131,2389
+ Other Equity,-904,-822,-479,-247
Equity Before Minority Interest,8177,8731,10767,10749
+ Minority/Non Controlling Interest,0,0,0,0
Total Equity,8177,8731,10767,10749
Total Liabilities & Equity,16406,16311,17728,17340
Shares Outstanding,745,747,747,733
Capital Leases - Total,33,26,24,22
Net Debt,6238,4980,3220,3472
Net Debt to Equity,76.29,57.04,29.91,32.30
Tangible Common Equity Ratio,50,54,61,62
Current Ratio,1.60,1.69,3.12,1.58
Cash Conversion Cycle,0,32.17,31.60,30.62
Number of Employees,9400,9372,9214,9264
