,2019,2020,2021,2022
Sales/Revenue/Turnover,6554,7532,10201,10184
+ Sales & Services Revenue,6554,7532,10201,10184
- Cost of Revenue,5412,5447,6103,6564
+ Cost of Goods & Services,5412,5447,6103,6564
Gross Profit,1142,2085,4098,3620
+ Other Operating Income,0,0,0,0
- Operating Expenses,479,564,487,540
"+ Selling, General & Admin",432,430,491,491
+ Research & Development,6,5,5,6
+ Other Operating Expense,41,129,-9,43
Operating Income (Loss),663,1521,3611,3080
- Non-Operating (Income) Loss,876,539,295,775
"+ Interest Expense, Net",348,438,308,245
+ Interest Expense,378,443,313,270
- Interest Income,30,5,5,25
+ Other Non-Op (Income) Loss,528,101,-13,530
Pretax Income,-213,982,3316,2305
- Income Tax Expense (Benefit),-137,185,709,425
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,-76,797,2607,1880
- Net Extraordinary Losses (Gains),0,0,0,0
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0
Income (Loss) Incl. MI,-76,797,2607,1880
- Minority Interest,0,0,0,0
"Net Income, GAAP",-76,797,2607,1880
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",-76,797,2607,1880
Basic Weighted Avg Shares,746,747,749,742
"Basic EPS, GAAP",-0.10,1.07,3.48,2.53
Basic EPS from Cont Ops,-0.10,1.07,3.48,2.53
Diluted Weighted Avg Shares,746,748,751,743
"Diluted EPS, GAAP",-0.10,1.07,3.47,2.53
Diluted EPS from Cont Ops,-0.10,1.07,3.47,2.53
EBITDA,1173,1993,4088,3560
EBITDA Margin (%),17.90,26.46,40.07,34.96
EBITA,663,1521,3611,3080
EBIT,663,1521,3611,3080
Gross Margin (%),17.42,27.68,40.17,35.55
Operating Margin (%),10.12,20.19,35.40,30.24
Profit Margin (%),-1.16,10.58,25.56,18.46
Sales per Employee,697234,803671,1107120,1099309
Dividend per Share,1.36,0.51,1.18,2.18
Depreciation Expense,510,472,477,480
