,2019,2020,2021,2022
+ Net Income,-76,797,2607,1880
+ Depreciation & Amortization,510,472,477,480
+ Non-Cash Items,466,382,22,584
+ Stock-Based Compensation,30,30,30,33
+ Deferred Income Taxes,-169,-56,14,-30
+ Asset Impairment Charge,80,0,0,0
+ Other Non-Cash Adj,525,408,-22,581
+ Chg in Non-Cash Work Cap,66,-122,53,-112
+ (Inc) Dec in Accts Receiv,13,-141,-57,149
+ (Inc) Dec in Inventories,-23,-25,-77,-37
+ (Inc) Dec in Prepaid Assets,6,-4,-25,-12
+ Inc (Dec) in Accts Payable,37,-17,113,-111
+ Inc (Dec) in Other,33,65,99,-101
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,966,1529,3159,2832
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,261,0
+ Disp of Fixed Prod Assets,0,0,261,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-384,-706,-149,-295
+ Acq of Fixed Prod Assets,-384,-706,-149,-295
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,297,101,0,0
+ Cash from Divestitures,297,526,0,0
+ Cash for Acq of Subs,0,-425,0,0
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,274,790,-437,-464
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,187,185,-325,-759
+ Dividends Paid,-1013,-381,-884,-1617
+ Net Cash From Debt,-270,-990,-375,-322
+ Cash From Debt,1834,1282,0,881
+ Repayments of Debt,-2104,-2272,-375,-1203
+ Cash (Repurchase) of Equity,-60,0,-100,-543
+ Increase in Capital Stock,0,0,0,0
+ Decrease in Capital Stock,-60,0,-100,-543
+ Other Financing Activities,-5,13,29,-9
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-1348,-1358,-1330,-2491
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,-195,356,1504,-418
EBITDA,1173,1993,4088,3560
EBITDA Margin (%),17.90,26.46,40.07,34.96
Net Cash Paid for Acquisitions,-297,-101,0,0
Free Cash Flow,582,823,3010,2537
Free Cash Flow to Firm,0,1183,3256,2757
Free Cash Flow to Equity,0,-167,2896,2215
Free Cash Flow per Basic Share,0.78,1.10,4.02,3.42
Price/Free Cash Flow,16.69,11.22,9.35,7.37
Cash Flow to Net Income,-12.71,1.92,1.21,1.51
