,2019,2020,2021,2022
Sales/Revenue/Turnover,1308,1356,1577,1924
+ Sales & Services Revenue,1308,1356,1577,1924
- Cost of Revenue,365,387,398,469
+ Cost of Goods & Services,365,387,398,469
Gross Profit,943,969,1179,1455
+ Other Operating Income,0,0,0,0
- Operating Expenses,309,321,344,418
"+ Selling, General & Admin",89,97,102,129
+ Research & Development,0,0,0,0
+ Other Operating Expense,220,224,242,288
Operating Income (Loss),634,648,835,1038
- Non-Operating (Income) Loss,171,117,-63,96
"+ Interest Expense, Net",184,157,116,150
+ Interest Expense,191,172,166,219
- Interest Income,7,15,50,69
+ Other Non-Op (Income) Loss,-12,-40,-179,-54
Pretax Income,462,531,898,942
- Income Tax Expense (Benefit),11,14,20,21
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,451,518,878,921
- Net Extraordinary Losses (Gains),62,72,100,121
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,62,72,100,121
Income (Loss) Incl. MI,389,446,778,800
- Minority Interest,-31,-36,-50,-60
"Net Income, GAAP",420,482,828,861
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",420,482,828,861
Basic Weighted Avg Shares,128,130,133,134
"Basic EPS, GAAP",3.28,3.72,6.21,6.42
Basic EPS from Cont Ops,3.52,4.00,6.58,6.87
Diluted Weighted Avg Shares,136,130,140,142
"Diluted EPS, GAAP",3.08,3.72,5.91,6.07
Diluted EPS from Cont Ops,3.31,3.99,6.27,6.50
EBITDA,854,873,1077,1326
EBITDA Margin (%),65.24,64.33,68.28,68.91
EBITA,634,648,835,1038
EBIT,634,648,835,1038
Gross Margin (%),72.07,71.46,74.76,75.63
Operating Margin (%),48.44,47.78,52.95,53.93
Profit Margin (%),32.10,35.52,52.47,44.73
Sales per Employee,323235,337955,366062,402462
Dividend per Share,3.57,3.61,4.51,6.01
Depreciation Expense,220,224,242,288
