,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,0,1157,1189,1464,1331,1544,3862,4115,3967
"+ Cash, Cash Equivalents & STI",0,228,256,393,221,506,1751,2110,1613
+ Cash & Cash Equivalents,0,228,256,393,221,506,1751,2110,1613
+ ST Investments,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,0,403,442,536,525,459,967,949,1122
"+ Accounts Receivable, Net",0,403,442,536,525,459,967,949,1122
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0
+ Inventories,0,475,444,495,524,503,944,854,1025
+ Raw Materials,0,348,313,363,369,371,588,507,625
+ Work In Process,0,42,45,58,58,48,89,89,122
+ Finished Goods,0,71,70,61,83,71,258,283,339
+ Inventory Adjustments,0,14,16,13,13,13,9,-24,-60
+ Other Inventory,0,0,0,0,0,0,0,0,0
+ Other ST Assets,0,51,47,40,61,77,201,203,207
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,0,3305,3127,3158,3156,3085,12197,11040,10799
"+ Property, Plant & Equip, Net",0,341,358,363,357,327,797,649,624
"+ Property, Plant & Equip",0,445,504,567,607,625,1171,1006,1042
- Accumulated Depreciation,0,104,146,204,250,298,373,358,417
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0
+ Other LT Assets,0,2964,2769,2794,2799,2758,11399,10391,10174
+ Total Intangible Assets,0,2835,2625,2659,2658,2543,11036,9894,9643
+ Goodwill,0,1191,1155,1228,1290,1288,6304,5982,6064
+ Other Intangible Assets,0,1644,1470,1431,1368,1255,4733,3913,3579
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,0,129,144,136,141,215,363,497,531
Total Assets,0,4462,4316,4621,4487,4628,16059,15155,14766
+ Payables & Accruals,0,346,410,541,589,567,1458,1412,1638
+ Accounts Payable,0,157,215,270,340,323,671,671,779
+ Accrued Taxes,0,29,37,35,24,23,119,42,63
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,0,160,158,237,224,222,668,700,796
+ ST Debt,0,25,24,21,8,8,40,39,37
+ ST Borrowings,0,25,24,21,8,8,40,39,37
+ ST Finance Leases,0,0,0,0,0,17,57,35,40
+ Other ST Liabilities,0,60,63,0,0,0,0,17,0
+ Deferred Revenue,0,58,43,43,70,52,173,242,306
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,2,20,-43,-70,-52,-173,-225,-306
Total Current Liabilities,0,431,498,562,596,575,1499,1468,1674
+ LT Debt,0,2769,2754,2019,1664,1604,3859,3402,2716
+ LT Borrowings,0,2769,2754,2019,1664,1604,3859,3402,2716
+ LT Finance Leases,0,0,0,0,0,0,0,0,0
+ Other LT Liabilities,0,856,793,563,551,580,1511,1214,1119
+ Accrued Liabilities,0,579,488,238,266,251,876,709,611
+ Pension Liabilities,0,114,123,100,95,100,275,195,147
+ Deferred Revenue,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,0,163,182,226,190,229,361,310,361
Total Noncurrent Liabilities,0,3625,3546,2583,2215,2184,5371,4616,3835
Total Liabilities,0,4057,4044,3144,2811,2759,6869,6083,5509
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,0,1221,1224,2277,2285,2304,9315,9413,9481
+ Common Stock,0,2,2,2,2,2,4,4,4
+ Additional Paid in Capital,0,1219,1222,2275,2283,2302,9310,9409,9477
- Treasury Stock,0,5,19,23,53,37,33,748,985
+ Retained Earnings,0,-560,-596,-578,-309,-141,-176,379,951
+ Other Equity,0,-266,-342,-200,-247,-256,14,-42,-252
Equity Before Minority Interest,0,390,266,1477,1676,1870,9120,9002,9196
+ Minority/Non Controlling Interest,0,15,6,0,0,0,70,70,61
Total Equity,0,406,272,1477,1676,1870,9190,9071,9257
Total Liabilities & Equity,0,4462,4316,4621,4487,4628,16059,15155,14766
Shares Outstanding,190,190,190,196,198,205,419,408,405
Capital Leases - Total,0,0,0,0,0,17,57,35,40
Net Debt,0,2567,2522,1647,1451,1106,2149,1331,1140
Net Debt to Equity,0,632.87,928.20,111.52,86.57,59.14,23.38,14.67,12.31
Tangible Common Equity Ratio,0,-149,-139,-60,-54,-32,-37,-16,-8
Current Ratio,0,2.68,2.39,2.61,2.23,2.69,2.58,2.80,2.37
Cash Conversion Cycle,0,83.21,159.73,133.17,117.65,115.24,84.51,91.90,89.10
Number of Employees,0,0,6100,6400,6700,6600,15900,16000,17000
