,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,0,27244,25263,16815,19084,20848,20477
"+ Cash, Cash Equivalents & STI",0,6192,2769,2388,5104,2988,3886
+ Cash & Cash Equivalents,0,6188,2669,2367,5104,2988,3886
+ ST Investments,0,4,100,21,0,0,0
+ Accounts & Notes Receiv,0,12049,12382,7555,7390,9554,7755
"+ Accounts Receivable, Net",0,7338,8246,4844,4839,6841,5611
"+ Notes Receivable, Net",0,4711,4136,2711,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,2551,2713,2144
+ Inventories,0,8376,9260,6214,5701,7372,6988
+ Raw Materials,0,1746,1821,1473,1531,1688,1846
+ Work In Process,0,1747,2214,1122,996,1615,1476
+ Finished Goods,0,5213,5640,3505,3140,4554,4150
+ Inventory Adjustments,0,-330,-415,114,34,-485,-484
+ Other Inventory,0,0,0,0,0,0,0
+ Other ST Assets,0,627,852,658,889,934,1848
+ Prepaid Expenses,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0
Total Noncurrent Assets,0,52696,52115,43709,42386,42142,40126
"+ Property, Plant & Equip, Net",0,23812,23662,23068,22095,21967,21669
"+ Property, Plant & Equip",0,60426,61437,56982,58181,59016,59282
- Accumulated Depreciation,0,36614,37775,33914,36086,37049,37613
+ LT Investments & Receivables,0,6252,6471,3992,4102,5238,4382
+ LT Investments,0,6252,6471,3992,4102,5238,4382
+ LT Receivables,0,0,0,0,0,0,0
+ Other LT Assets,0,22632,21982,16649,16189,14937,14075
+ Total Intangible Assets,0,19487,18761,12555,12260,11645,11086
+ Goodwill,0,13938,13848,8796,8908,8764,8644
+ Other Intangible Assets,0,5549,4913,3759,3352,2881,2442
+ LT Deferred Tax Assets,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0
+ Misc LT Assets,0,3145,3221,4094,3929,3292,2989
Total Assets,0,79940,77378,60524,61470,62990,60603
+ Payables & Accruals,0,13141,13110,9237,10076,12520,10320
+ Accounts Payable,0,5360,5378,3889,3763,5577,4940
+ Accrued Taxes,0,694,791,522,397,623,334
+ Interest & Dividends Payable,0,0,0,0,0,0,0
+ Other Payables & Accruals,0,7087,6941,4826,5916,6320,5046
+ ST Debt,0,1236,645,1442,1032,706,1011
+ ST Borrowings,0,1236,645,1021,616,392,724
+ ST Finance Leases,0,0,0,421,416,314,287
+ Other ST Liabilities,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,0,0,0,0,0
Total Current Liabilities,0,14377,13755,10679,11108,13226,11331
+ LT Debt,0,19765,19254,17714,18012,15429,15695
+ LT Borrowings,0,19765,19254,15975,16491,14280,14698
+ LT Finance Leases,0,0,0,1739,1521,1149,997
+ Other LT Liabilities,0,18789,16400,18037,19345,15596,12330
+ Accrued Liabilities,0,764,664,347,405,506,1110
+ Pension Liabilities,0,10794,9226,10083,11648,7557,3808
+ Deferred Revenue,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Misc LT Liabilities,0,7231,6510,7607,7292,7533,7412
Total Noncurrent Liabilities,0,38554,35654,35751,37357,31025,28025
Total Liabilities,0,52931,49409,46430,48465,44251,39356
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0
+ Share Capital & APIC,0,6553,7042,7333,7603,8159,8548
+ Common Stock,0,0,0,8,8,8,8
+ Additional Paid in Capital,0,6553,7042,7325,7595,8151,8540
- Treasury Stock,0,0,0,500,625,1625,3871
+ Retained Earnings,0,28050,29808,17045,16361,20623,23180
+ Other Equity,0,-8591,-9885,-10246,-10855,-8977,-7139
Equity Before Minority Interest,0,25823,26831,13541,12435,18165,20718
+ Minority/Non Controlling Interest,0,1186,1138,553,570,574,529
Total Equity,0,27009,27969,14094,13005,18739,21247
Total Liabilities & Equity,0,79940,77378,60524,61470,62990,60603
Shares Outstanding,750,750,749,741,743,735,705
Capital Leases - Total,0,0,0,2160,1937,1463,1284
Net Debt,0,14813,17230,14629,12003,11684,11536
Net Debt to Equity,0,54.84,61.60,103.80,92.30,62.35,54.29
Tangible Common Equity Ratio,0,12,16,3,2,14,21
Current Ratio,0,1.89,1.84,1.57,1.72,1.58,1.81
Cash Conversion Cycle,0,50.81,74.32,82.34,68.53,55.60,54.13
Number of Employees,0,0,37000,36500,35700,35700,37800
