,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,48158,43730,60278,42951,38542,54968,56902
+ Sales & Services Revenue,48158,43730,60278,42951,38542,54968,56902
- Cost of Revenue,37668,36350,47705,36657,33346,44191,48338
+ Cost of Goods & Services,37668,36350,47705,36657,33346,44191,48338
Gross Profit,10490,7380,12573,6294,5196,10777,8564
+ Other Operating Income,0,0,0,0,0,0,0
- Operating Expenses,6203,2998,5004,2774,2640,2890,2862
"+ Selling, General & Admin",4066,1795,2846,1590,1471,1645,1675
+ Research & Development,1593,803,1536,765,768,857,851
+ Other Operating Expense,544,400,622,419,401,388,336
Operating Income (Loss),4287,4382,7569,3520,2556,7887,5702
- Non-Operating (Income) Loss,-126,4145,1651,4767,485,-258,-388
"+ Interest Expense, Net",751,848,1009,852,789,676,489
+ Interest Expense,858,914,1118,933,827,731,662
- Interest Income,107,66,109,81,38,55,173
+ Other Non-Op (Income) Loss,-877,3297,642,3915,-304,-934,-877
Pretax Income,4413,237,5918,-1247,2071,8145,6090
- Income Tax Expense (Benefit),9,1524,1285,470,777,1740,1450
- (Income) Loss from Affiliates,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,4404,-1287,4633,-1717,1294,6405,4640
- Net Extraordinary Losses (Gains),172,-1622,268,-271,138,188,116
+ Discontinued Operations,0,1882,1835,445,0,0,0
+ Extraord. & Accounting Changes,172,-3504,-1567,-716,138,188,116
Income (Loss) Incl. MI,4232,335,4365,-1446,1156,6217,4524
- Minority Interest,-86,-130,-134,-87,-69,-94,-58
"Net Income, GAAP",4318,465,4499,-1359,1225,6311,4582
- Preferred Dividends,340,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",3978,465,4499,-1359,1225,6311,4582
Basic Weighted Avg Shares,750,750,750,743,741,744,721
"Basic EPS, GAAP",5.30,0.62,6.00,-1.83,1.65,8.49,6.36
Basic EPS from Cont Ops,5.87,-1.72,6.18,-2.31,1.75,8.61,6.44
Diluted Weighted Avg Shares,750,750,750,743,742,749,726
"Diluted EPS, GAAP",5.30,0.62,6.00,-1.83,1.65,8.43,6.31
Diluted EPS from Cont Ops,5.87,-1.72,6.18,-2.31,1.74,8.55,6.39
EBITDA,7149,6928,10898,6458,5430,10729,8460
EBITDA Margin (%),14.84,15.84,18.08,15.04,14.09,19.52,14.87
EBITA,4287,4382,7569,3520,2556,7887,5702
EBIT,4287,4382,7569,3520,2556,7887,5702
Gross Margin (%),21.78,16.88,20.86,14.65,13.48,19.61,15.05
Operating Margin (%),8.90,10.02,12.56,8.20,6.63,14.35,10.02
Profit Margin (%),8.97,1.06,7.46,-3.16,3.18,11.48,8.05
Sales per Employee,0,0,1629135,1176740,1079608,1539720,1505344
Dividend per Share,3.28,4.31,4.95,2.81,2.80,2.79,2.78
Depreciation Expense,2862,2546,3329,2938,2874,2842,2758
