,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,495,416,384,381,366,346,336,328,322,323
Diluted Weighted Avg Shares,510,457,399,388,384,354,348,335,332,330
Basic Weighted Avg Shares,502,457,391,382,378,349,343,330,324,322
Revenue per Share,9.30,10.12,12.44,13.07,13.31,13.32,12.95,13.45,14.60,16.46
EBITDA per Share,1.58,1.71,2.79,2.91,3.02,2.26,2.00,1.92,2.06,2.35
Operating Income per Share,1.21,1.31,2.33,2.37,2.42,1.66,1.39,1.27,1.33,1.67
"Basic EPS, GAAP",0.88,-0.73,1.62,1.58,0.81,1.62,1.01,0.78,0.78,1.46
Basic EPS from Cont Ops,0.88,-0.73,1.62,1.58,0.81,1.62,1.01,0.78,0.78,1.46
"Diluted EPS, GAAP",0.86,-0.73,1.59,1.55,0.80,1.60,0.99,0.77,0.76,1.43
Diluted EPS from Cont Ops,0.86,-0.73,1.59,1.55,0.80,1.60,0.99,0.77,0.76,1.43
Dividend per Share,0,0.19,0.40,0.40,0.40,0.71,0.76,0.80,0.80,0.84
Cash Flow per Share,1.68,1.67,2.28,2.90,3.34,2.47,1.54,1.85,2.13,0.30
Free Cash Flow per Basic Share,1.19,1.25,1.75,2.34,2.94,2.04,1.22,1.55,1.82,-0.02
Cash & Equivalents per Share,5.75,4.74,5.07,6.78,8.30,10.27,5.82,5.41,3.85,3.38
Book Value per Share,-5.31,-9.28,-9.74,-8.61,-9.18,-8.17,-8.16,-8.14,-8.25,-7.36
Tangible Book Value per Share,6.34,4.51,4.06,4.62,3.99,4.61,3.24,1.85,0.84,1.80
