,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Total Debt,1636,5379,4517,4030,3790,3522,781,7652,7829,7786
ST Debt,60,163,397,634,382,759,0,10,13,820
LT Debt,1576,5216,4120,3396,3408,2763,781,7642,7816,6966
Total Debt/EBITDA,1.51,5.62,2.99,2.91,3.21,2.61,0.45,2.53,2.56,2.72
Net Debt/EBITDA,0.99,5.12,2.67,2.56,2.97,2.22,-0.47,1.87,2.00,2.15
Total Debt/EBIT,1.85,7.55,3.93,3.76,4.12,3.23,0.66,3.84,3.74,4.04
Net Debt/EBIT,1.22,6.87,3.51,3.30,3.81,2.74,-0.70,2.83,2.92,3.20
EBITDA to Interest Expense,11.60,7.37,8.25,8.05,6.94,7.99,8.08,11.20,11.56,10.28
EBITDA-CapEx/Interest Expense,9.33,6.22,7.42,7.35,6.14,7.04,6.85,9.84,10.29,9.37
EBIT to Interest Expense,9.42,5.49,6.28,6.24,5.41,6.46,5.45,7.38,7.91,6.91
Interest Expense,94,130,183,172,170,169,217,270,265,279
Common Equity/Total Assets,27.01,10.53,12.13,14.50,17.93,22.65,0,6.91,8.96,9.35
Long-Term Debt/Equity (%),86.33,153.32,134.77,115.98,103.97,82.16,3.43,36.67,40.46,37.40
Long-Term Debt/Capital (%),53.12,77.09,68.98,61.82,61.34,47.52,100.00,74.02,70.76,63.21
Long-Term Debt/Total Assets (%),31.96,39.73,34.34,33.66,34.60,27.31,2.11,20.68,22.52,20.78
Total Debt/Equity (%),89.60,158.12,147.76,137.64,115.62,104.73,3.43,36.72,40.52,41.81
Total Debt/Capital (%),55.13,79.50,75.62,73.37,68.21,60.58,100.00,74.12,70.88,70.65
Total Debt/Total Assets (%),33.17,40.97,37.65,39.95,38.47,34.81,2.11,20.70,22.56,23.23
Net Debt to Equity,58.86,143.97,131.83,121.11,106.83,88.97,-3.62,27.07,31.68,33.10
Net Debt/Capital (%),44.66,77.93,73.46,70.79,66.48,56.62,1916.28,62.36,60.56,60.79
EBITDA,1086,957,1510,1384,1179,1350,1753,3025,3063,2867
EBITDA-CapEx,874,809,1358,1265,1043,1189,1486,2657,2728,2615
Operating Income (Loss),882,713,1149,1073,920,1092,1182,1993,2096,1929
