,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Accounts Receivable Turnover,7.94,5.96,7.19,7.56,11.31,14.70,15.37,14.21,14.91,14.86
Days Sales Outstanding,45.99,61.23,50.75,48.25,32.28,24.82,23.75,25.68,24.47,24.56
Inventory Turnover,5.14,4.04,5.11,4.22,6.50,11.59,11.51,11.76,12.72,10.68
Days Inventory Outstanding,70.97,90.26,71.41,86.44,56.20,31.50,31.71,31.04,28.69,34.18
Accounts Payable Turnover,9.82,8.37,8.54,6.46,6.26,7.70,11.14,9.48,7.85,6.70
Accounts Payable Turnover Days,37.15,43.63,42.74,56.51,58.32,47.40,32.77,38.51,46.52,54.44
Cash Conversion Cycle,79.80,107.85,79.41,78.18,30.15,8.92,22.69,18.22,6.64,4.30
Inventory to Cash Days,-24.99,-29.02,-20.66,-38.18,-23.91,-6.68,-7.96,-5.37,-4.21,-9.63
Inventories,619,1044,964,841,411,360,1219,973,982,1291
Raw Materials,131,196,200,195,199,193,0,470,506,714
Work In Process,36,256,123,96,121,90,0,367,335,396
Finished Goods,105,100,129,96,91,77,0,136,141,181
Other Inventory,347,492,512,454,0,0,1219,0,0,0
