,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Shares Outstanding,106,124,125,120,118,221,218,208,194,191
Diluted Weighted Avg Shares,107,107,125,124,121,121,169,216,203,194
Basic Weighted Avg Shares,106,106,124,123,119,118,166,214,201,192
Revenue per Share,47.24,48.09,60.32,48.12,52.01,57.64,77.45,85.02,88.49,88.96
EBITDA per Share,10.24,9.05,12.20,11.29,9.94,11.44,10.56,14.14,15.22,14.95
Operating Income per Share,8.31,6.74,9.28,8.75,7.76,9.25,7.12,9.31,10.41,10.06
"Basic EPS, GAAP",5.04,3.16,2.62,4.51,5.89,8.04,8.03,5.23,9.17,5.54
Basic EPS from Cont Ops,5.08,3.16,2.79,5.20,5.92,8.08,8.11,5.08,9.16,5.53
"Diluted EPS, GAAP",4.98,3.13,2.59,4.45,5.77,7.88,7.89,5.18,9.08,5.49
Diluted EPS from Cont Ops,5.03,3.13,2.76,5.13,5.80,7.91,7.97,5.04,9.07,5.48
Dividend per Share,1.70,1.87,2.04,2.14,2.29,2.75,3.07,3.39,4.06,4.50
Cash Flow per Share,8.00,8.08,7.46,4.64,6.33,10.04,9.97,13.04,13.35,11.25
Free Cash Flow per Basic Share,6.00,6.68,6.24,3.67,5.19,8.68,8.36,11.32,11.68,9.94
Cash & Equivalents per Share,5.32,3.89,3.91,4.05,2.43,2.39,3.78,6.13,4.86,4.62
Book Value per Share,12.62,11.17,11.67,12.23,14.93,10.35,0,12.27,16.08,16.44
Tangible Book Value per Share,-1.36,-38.17,-35.78,-29.61,-26.07,-12.86,-25.37,-28.54,-28.47,-24.45
