,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Return on Common Equity (%),42.47,24.62,22.84,37.90,43.30,46.77,116.32,87.59,65.16,34.01
Return on Assets (%),10.93,3.70,2.58,5.01,7.01,9.51,5.65,3.02,5.15,3.11
Return on Capital (%),20.34,8.74,6.71,11.76,15.03,19.24,46.00,24.75,19.32,11.74
Return on Invested Capital (%),17.68,8.11,7.90,10.38,10.11,13.38,7.01,6.30,6.08,5.97
Gross Margin (%),33.95,33.86,31.27,35.41,34.08,34.32,29.31,29.17,30.18,28.88
EBITDA Margin (%),21.67,18.82,20.22,23.46,19.11,19.85,13.64,16.63,17.19,16.80
Operating Margin (%),17.60,14.02,15.39,18.19,14.92,16.06,9.19,10.95,11.77,11.31
Incremental Operating Margin (%),-69.91,-237.78,18.31,4.85,-57.09,27.17,1.49,15.19,-27.11,22.21
Pretax Margin (%),15.87,9.38,8.18,15.34,14.72,16.37,11.61,7.27,12.82,7.46
Profit Margin (%),10.67,6.57,4.34,9.37,11.33,13.95,10.37,6.15,10.36,6.22
Net Income to Common Margin (%),10.67,6.57,4.34,9.37,11.33,13.95,10.37,6.15,10.36,6.22
Effective Tax Rate (%),32.21,29.94,43.54,29.50,22.69,14.38,9.78,17.70,19.27,16.65
Dvd Payout Ratio (%),33.48,59.23,73.04,41.07,38.75,34.10,37.45,68.72,44.43,81.51
Sustainable Growth Rate (%),28.25,10.04,6.16,22.34,26.52,30.82,72.75,27.40,36.21,6.29
