,2020,2021,2022
Sales/Revenue/Turnover,9008,9358,10385
+ Sales & Services Revenue,9008,9358,10385
- Cost of Revenue,0,0,0
+ Cost of Goods & Services,0,0,0
Gross Profit,9008,9358,10385
+ Other Operating Income,0,0,0
- Operating Expenses,8639,8765,9404
"+ Selling, General & Admin",2995,3254,3592
+ Research & Development,0,0,0
+ Other Operating Expense,5644,5511,5812
Operating Income (Loss),369,593,981
- Non-Operating (Income) Loss,1893,143,169
"+ Interest Expense, Net",25,53,99
+ Interest Expense,25,53,99
- Interest Income,0,0,0
+ Other Non-Op (Income) Loss,1868,90,70
Pretax Income,-1524,450,812
- Income Tax Expense (Benefit),21,61,52
- (Income) Loss from Affiliates,0,0,0
Income (Loss) from Cont Ops,-1545,389,760
- Net Extraordinary Losses (Gains),-552,118,274
+ Discontinued Operations,0,0,0
+ Extraord. & Accounting Changes,-552,118,274
Income (Loss) Incl. MI,-993,271,486
- Minority Interest,276,-59,-137
"Net Income, GAAP",-1269,330,623
- Preferred Dividends,0,0,0
- Other Adjustments,0,0,0
"Net Income Avail to Common, GAAP",-1269,330,623
Basic Weighted Avg Shares,588,590,590
"Basic EPS, GAAP",-2.16,0.56,1.06
Basic EPS from Cont Ops,-2.63,0.66,1.29
Diluted Weighted Avg Shares,588,593,593
"Diluted EPS, GAAP",-2.16,0.56,1.05
Diluted EPS from Cont Ops,-2.63,0.66,1.28
EBITDA,1013,1273,1669
EBITDA Margin (%),11.25,13.60,16.07
EBITA,369,593,981
EBIT,369,593,981
Gross Margin (%),100.00,100.00,100.00
Operating Margin (%),4.10,6.34,9.45
Profit Margin (%),-14.09,3.53,6.00
Sales per Employee,383319,389917,407255
Dividend per Share,0.27,0.28,0.30
Depreciation Expense,644,680,688
