,2014,2015,2016,2017,2018,2019,2019,2020,2021,2022
Sales/Revenue/Turnover,5012,5083,7467,5900,6168,6801,12856,18194,17814,17062
+ Sales & Services Revenue,5012,5083,7467,5900,6168,6801,12856,18194,17814,17062
- Cost of Revenue,3311,3362,5132,3811,4066,4467,9088,12886,12438,12135
+ Cost of Goods & Services,3311,3362,5132,3811,4066,4467,9088,12886,12438,12135
Gross Profit,1702,1721,2335,2089,2102,2334,3768,5308,5376,4927
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,820,1009,1186,1016,1182,1242,2586,3315,3280,2998
"+ Selling, General & Admin",820,1009,1186,1016,1182,1242,2586,3315,3280,2998
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),882,713,1149,1073,920,1092,1182,1993,2096,1929
- Non-Operating (Income) Loss,87,236,538,168,12,-21,-311,671,-187,656
"+ Interest Expense, Net",91,128,181,170,168,167,204,254,265,279
+ Interest Expense,94,130,183,172,170,169,217,270,265,279
- Interest Income,3,2,2,2,2,2,13,16,0,0
+ Other Non-Op (Income) Loss,-4,108,357,-2,-156,-188,-515,417,-452,377
Pretax Income,795,477,611,905,908,1113,1493,1322,2283,1273
- Income Tax Expense (Benefit),256,143,266,267,206,160,146,234,440,212
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,539,334,345,638,702,953,1347,1088,1843,1061
- Net Extraordinary Losses (Gains),4,0,21,85,3,4,26,-64,-7,-2
+ Discontinued Operations,-5,47,-21,-85,-3,-4,-2,-2,-1,0
+ Extraord. & Accounting Changes,9,-47,42,170,6,8,28,-62,-6,-2
Income (Loss) Incl. MI,535,334,324,553,699,949,1321,1152,1850,1063
- Minority Interest,1,0,0,0,0,0,-12,33,4,1
"Net Income, GAAP",535,334,324,553,699,949,1333,1119,1846,1062
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",535,334,324,553,699,949,1333,1119,1846,1062
Basic Weighted Avg Shares,106,106,124,123,119,118,166,214,201,192
"Basic EPS, GAAP",5.04,3.16,2.62,4.51,5.89,8.04,8.03,5.23,9.17,5.54
Basic EPS from Cont Ops,5.08,3.16,2.79,5.20,5.92,8.08,8.11,5.08,9.16,5.53
Diluted Weighted Avg Shares,107,107,125,124,121,121,169,216,203,194
"Diluted EPS, GAAP",4.98,3.13,2.59,4.45,5.77,7.88,7.89,5.18,9.08,5.49
Diluted EPS from Cont Ops,5.03,3.13,2.76,5.13,5.80,7.91,7.97,5.04,9.07,5.48
EBITDA,1086,957,1510,1384,1179,1350,1753,3025,3063,2867
EBITDA Margin (%),21.67,18.82,20.22,23.46,19.11,19.85,13.64,16.63,17.19,16.80
EBITA,882,713,1149,1073,920,1092,1182,1993,2096,1929
EBIT,882,713,1149,1073,920,1092,1182,1993,2096,1929
Gross Margin (%),33.95,33.86,31.27,35.41,34.08,34.32,29.31,29.17,30.18,28.88
Operating Margin (%),17.60,14.02,15.39,18.19,14.92,16.06,9.19,10.95,11.77,11.31
Profit Margin (%),10.67,6.57,4.34,9.37,11.33,13.95,10.37,6.15,10.36,6.22
Sales per Employee,358000,227946,355571,347059,352457,373681,0,379042,379021,370913
Dividend per Share,1.70,1.87,2.04,2.14,2.29,2.75,3.07,3.39,4.06,4.50
Depreciation Expense,204,244,361,311,259,258,571,1032,967,938
