,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,16688,13269,17179,22877,23838,20705,20536,21156
+ Sales & Services Revenue,16688,13269,17179,22877,23838,20705,20536,21156
- Cost of Revenue,12193,10123,14143,18891,19406,17506,16487,16756
+ Cost of Goods & Services,12193,10123,14143,18891,19406,17506,16487,16756
Gross Profit,4495,3146,3036,3986,4432,3199,4049,4400
+ Other Operating Income,0,0,0,0,0,0,0,0
- Operating Expenses,2115,1938,2535,2699,2832,2404,2470,2510
"+ Selling, General & Admin",2115,1938,2535,2699,2832,2404,2470,2510
+ Research & Development,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0
Operating Income (Loss),2380,1208,501,1287,1600,795,1579,1890
- Non-Operating (Income) Loss,2538,624,847,746,847,15997,1151,1868
"+ Interest Expense, Net",120,102,131,223,237,264,299,252
+ Interest Expense,120,102,131,223,237,264,299,252
- Interest Income,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,2418,522,716,523,610,15733,852,1616
Pretax Income,-158,584,-346,541,753,-15202,428,22
- Income Tax Expense (Benefit),473,250,45,258,482,559,758,600
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-631,334,-391,283,271,-15761,-330,-578
- Net Extraordinary Losses (Gains),-50,-138,-660,176,286,-11642,-222,46
+ Discontinued Operations,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,-50,-138,-660,176,286,-11642,-222,46
Income (Loss) Incl. MI,-581,472,269,107,-15,-4119,-108,-624
- Minority Interest,25,69,330,-88,-143,5821,111,-23
"Net Income, GAAP",-606,403,-61,195,128,-9940,-219,-601
- Preferred Dividends,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-606,403,-61,195,128,-9940,-219,-601
Basic Weighted Avg Shares,429,429,427,427,555,675,824,987
"Basic EPS, GAAP",-1.41,0.94,-0.14,0.46,0.23,-14.73,-0.27,-0.61
Basic EPS from Cont Ops,-1.47,0.78,-0.92,0.66,0.49,-23.35,-0.40,-0.59
Diluted Weighted Avg Shares,430,430,427,433,557,675,824,987
"Diluted EPS, GAAP",-1.41,0.94,-0.14,0.45,0.23,-14.73,-0.27,-0.61
Diluted EPS from Cont Ops,-1.47,0.78,-0.92,0.65,0.49,-23.35,-0.40,-0.59
EBITDA,2910,1758,1604,2773,3018,2112,2684,2951
EBITDA Margin (%),17.44,13.25,9.34,12.12,12.66,10.20,13.07,13.95
EBITA,2380,1208,501,1287,1600,795,1579,1890
EBIT,2380,1208,501,1287,1600,795,1579,1890
Gross Margin (%),26.94,23.71,17.67,17.42,18.59,15.45,19.72,20.80
Operating Margin (%),14.26,9.10,2.92,5.63,6.71,3.84,7.69,8.93
Profit Margin (%),-3.63,3.04,-0.36,0.85,0.54,-48.01,-1.07,-2.84
Sales per Employee,0,390265,268422,346621,350559,376455,380296,384655
Dividend per Share,0,0,0.36,0.74,1.34,1.10,0.91,0.75
Depreciation Expense,530,550,1103,1486,1418,1317,1105,1061
