,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-631,403,-391,283,271,-15761,-330,-578
+ Depreciation & Amortization,530,550,1103,1486,1418,1317,1105,1061
+ Non-Cash Items,1871,-52,-310,0,0,15532,1119,1283
+ Stock-Based Compensation,0,0,0,0,0,210,205,207
+ Deferred Income Taxes,-96,39,-333,-249,51,160,133,0
+ Asset Impairment Charge,2080,0,0,185,107,16209,7,215
+ Other Non-Cash Adj,-113,-91,23,64,-158,-1047,774,861
+ Chg in Non-Cash Work Cap,-493,-639,-1201,-7,437,216,480,122
+ (Inc) Dec in Accts Receiv,469,278,-1190,-75,-643,611,136,-701
+ (Inc) Dec in Inventories,442,345,418,-339,-200,-80,170,-885
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,-450,-256,303,794,249,-711,246,605
+ Inc (Dec) in Other,-954,-1006,-732,-387,1031,396,-72,1103
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0
Cash from Operating Activities,1277,262,-799,1762,2126,1304,2374,1888
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-607,-424,-665,-995,-1240,-974,-856,-989
+ Acq of Fixed Prod Assets,-607,-424,-665,-995,-1240,-974,-856,-989
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,0,0,0,0,0
+ Dec in LT Investment,0,0,0,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0
+ Net Cash From Acq & Div,95,-1,-3345,364,-99,161,-109,-845
+ Cash from Divestitures,181,0,20,453,77,187,70,0
+ Cash for Acq of Subs,-86,-1,-3365,-89,-176,-26,-179,-845
+ Cash for JVs,0,0,0,0,0,0,0,0
+ Other Investing Activities,46,-47,-113,53,294,195,502,270
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0
Cash from Investing Activities,-466,-472,-4123,-578,-1045,-618,-463,-1564
+ Dividends Paid,0,0,-155,-315,-745,-744,-749,-743
+ Net Cash From Debt,0,-77,3751,-1060,-62,787,-977,-28
+ Cash From Debt,0,314,3928,0,525,1237,1250,0
+ Repayments of Debt,0,-391,-177,-1060,-587,-450,-2227,-28
+ Cash (Repurchase) of Equity,0,0,-477,-2486,-250,0,-434,-828
+ Increase in Capital Stock,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,0,0,-477,-2486,-250,0,-434,-828
+ Other Financing Activities,-515,-25,7800,-502,-477,182,17,7
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0
Cash from Financing Activities,-515,-102,10919,-4363,-1534,225,-2143,-1592
Effect of Foreign Exchange Rates,-254,-139,52,-128,-21,-28,-47,-97
Net Changes in Cash,296,-312,5997,-3179,-453,911,-232,-1268
EBITDA,2910,1758,1604,2773,3018,2112,2684,2951
EBITDA Margin (%),17.44,13.25,9.34,12.12,12.66,10.20,13.07,13.95
Net Cash Paid for Acquisitions,-95,1,3345,-364,99,-161,109,845
Free Cash Flow,670,-162,-1464,767,886,330,1518,899
Free Cash Flow to Firm,0,-104,0,884,971,0,1287,-5722
Free Cash Flow to Equity,0,-239,2287,-293,824,1117,541,871
Free Cash Flow per Basic Share,1.56,-0.38,-3.43,1.80,1.60,0.49,1.84,0.91
Price/Free Cash Flow,10.44,40.72,-100.82,3.37,4.24,6.28,6.11,10.13
Cash Flow to Net Income,-2.11,0.65,13.10,9.04,16.61,-0.13,-10.84,-3.14
