,2019,2020,2021,2022
Cash Ratio,0.17,0.67,0.29,0.22
Current Ratio,0.47,0.98,0.85,0.81
Quick Ratio,0.41,0.92,0.77,0.81
CFO/Avg Current Liab,0,0.79,1.48,2.05
Common Equity/Total Assets,-12.63,-16.13,-16.80,-16.24
Long-Term Debt/Equity (%),58.16,64.03,64.40,63.78
Long-Term Debt/Capital (%),130.06,158.15,179.32,174.49
Long-Term Debt/Total Assets (%),32.86,35.47,36.46,36.28
Total Debt/Equity (%),65.86,68.40,64.40,63.78
Total Debt/Capital (%),147.28,168.94,179.32,174.49
Total Debt/Total Assets (%),37.21,37.89,36.46,36.28
CFO/Total Liabilities,12.83,10.23,14.08,14.01
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.30,-0.05,0.01,1.39
