,2019,2020,2021,2022
Market Capitalization,10544,0,0,10666
- Cash & Cash Equivalents,116,378,95,69
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,77,73,73,81
+ Total Debt,4142,4143,3935,3940
Enterprise Value,14648,3838,3912,14619
Total Capital,2813,2453,2194,2258
Total Debt/Capital (%),147.28,168.94,179.32,174.49
Total Debt / EV,0.28,1.08,1.01,0.27
EV/Sales,12.93,3.78,3.35,11.94
EV/EBITDA,20.92,6.68,5.34,18.96
EV/EBIT,39.60,14.24,8.65,30.95
EV/Cash Flow to Firm,19.21,5.92,4.90,18.34
EV/Free Cash Flow to Firm,19.21,5.92,4.90,18.34
Diluted Market Cap,10585,0,0,10737
Diluted Enterprise Value,14688,3838,3912,14690
EV per Share,87.64,22.68,22.91,85.66
TTM Sales,1133,1016,1166,1224
TTM EBITDA,700,575,733,771
TTM Operating Income,370,270,452,472
TTM Cash Flow to Firm,763,649,799,797
TTM Free Cash Flow to Firm,763,649,799,797
