,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.08,0.10,0.10,0.11,0.09,0.09,0.11,0.14,0.06,0.08
Current Ratio,0.97,0.97,0.90,0.90,0.91,0.93,0.95,0.98,0.94,0.91
Quick Ratio,0.49,0.47,0.46,0.47,0.48,0.50,0.53,0.56,0.51,0.50
CFO/Avg Current Liab,0.06,0.09,0.20,0.13,0.06,0.05,0.08,0.07,0.07,0.06
Common Equity/Total Assets,7.99,7.31,4.27,6.87,6.79,9.88,10.82,1.19,2.92,5.27
Long-Term Debt/Equity (%),60.21,101.98,551.37,168.79,162.21,136.35,134.77,0,1092.33,6499.46
Long-Term Debt/Capital (%),48.03,55.92,74.68,55.19,58.73,51.02,47.32,75.07,73.22,51.66
Long-Term Debt/Total Assets (%),7.38,9.27,12.59,10.70,9.71,11.04,10.30,8.23,11.13,8.19
Total Debt/Equity (%),60.21,101.98,551.37,197.49,162.79,141.32,139.41,-490.63,1143.70,8001.39
Total Debt/Capital (%),48.03,55.92,74.68,64.58,58.94,52.88,48.95,85.47,76.66,63.60
Total Debt/Total Assets (%),7.38,9.27,12.59,12.52,9.75,11.44,10.65,9.37,11.66,10.08
CFO/Total Liabilities,4.75,7.47,14.46,10.10,4.48,4.08,6.48,4.93,4.70,4.79
CFO/CapEx,3.89,5.53,16.93,6.84,3.19,4.20,7.56,5.97,6.09,5.45
Altman's Z-Score,6.53,7.47,6.88,6.56,6.39,6.63,6.59,5.82,5.44,5.95
