,2019,2020,2021,2022
Market Capitalization,9156,8498,15163,14498
- Cash & Cash Equivalents,194,205,256,142
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,0,1,0
+ Total Debt,10393,10748,11443,13287
Enterprise Value,19356,19041,26352,27643
Total Capital,7822,7800,8226,9898
Total Debt/Capital (%),132.88,137.79,139.11,134.24
Total Debt / EV,0.54,0.56,0.43,0.48
EV/Sales,4.54,4.59,5.87,5.42
EV/EBITDA,13.46,13.06,16.49,15.43
EV/EBIT,24.83,24.14,29.24,26.42
EV/Cash Flow to Firm,14.78,13.87,24.87,20.30
EV/Free Cash Flow to Firm,9.16,10.34,15.52,12.27
Diluted Market Cap,9169,8509,15227,14578
Diluted Enterprise Value,19369,19052,26415,27724
EV per Share,67.37,66.05,90.94,95.05
TTM Sales,4263,4147,4492,5104
TTM EBITDA,1438,1458,1598,1792
TTM Operating Income,779,789,901,1046
TTM Cash Flow to Firm,1309,1373,1060,1362
TTM Free Cash Flow to Firm,2113,1841,1697,2254
