,2019,2020,2021,2022
Price/Earnings,34.21,24.79,33.64,26.03
Price/Earnings Average,35.47,23.48,27.01,26.27
Price/Earnings High,40.05,29.00,34.17,30.60
Price/Earnings Low,31.43,17.66,17.82,21.76
Price/Book Value,-3.56,-2.88,-4.71,-4.28
Price/Book Value Average,-3.69,-2.73,-3.78,-4.32
Price/Book Value High,-4.17,-3.37,-4.78,-5.03
Price/Book Value Low,-3.27,-2.05,-2.50,-3.58
Price/Tangible Book Value,-2.07,-1.79,-3.17,-2.56
Price/Tangible Book Value Average,-2.15,-1.70,-2.54,-2.58
Price/Tangible Book Value High,-2.43,-2.09,-3.22,-3.01
Price/Tangible Book Value Low,-1.91,-1.28,-1.68,-2.14
Price/Sales,2.15,2.05,3.37,2.84
Price/Sales Average,2.22,1.94,2.71,2.87
Price/Sales High,2.51,2.40,3.42,3.34
Price/Sales Low,1.97,1.46,1.79,2.37
Price/Cash Flow,9.46,8.60,19.96,15.63
Price/Cash Flow Average,9.81,8.15,16.02,15.77
Price/Cash Flow High,11.08,10.06,20.27,18.37
Price/Cash Flow Low,8.69,6.13,10.57,13.06
Price/Free Cash Flow,5.18,5.84,10.90,8.01
Price/Free Cash Flow Average,5.37,5.54,8.75,8.09
Price/Free Cash Flow High,6.06,6.84,11.07,9.42
Price/Free Cash Flow Low,4.76,4.16,5.78,6.70
EV/Sales,4.54,4.59,5.87,5.42
EV/Sales Average,4.62,4.48,5.20,5.44
EV/Sales High,4.91,4.94,5.92,5.92
EV/Sales Low,4.37,4.00,4.28,4.95
EV/EBITDA,13.46,13.06,16.49,15.43
EV/EBITDA Average,13.70,12.75,14.62,15.50
EV/EBITDA High,14.55,14.05,16.63,16.85
EV/EBITDA Low,12.95,11.38,12.03,14.10
EV/EBIT,24.83,24.14,29.24,26.42
EV/EBIT Average,25.27,23.57,25.92,26.55
EV/EBIT High,26.84,25.98,29.50,28.86
EV/EBIT Low,23.88,21.04,21.33,24.15
Last Price,31.87,29.48,52.33,49.85
High Price,37.32,34.49,53.14,58.61
Low Price,29.28,21.00,27.72,41.67
Enterprise Value,19356,19041,26352,27643
Enterprise Value Average,19695,18592,23362,27777
Enterprise Value High,20922,20485,26586,30191
Enterprise Value Low,18612,16597,19221,25264
