,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,18249,25090,24210,24996,38496,36276,53328,65121,91494,61439
- Cash & Cash Equivalents,745,41,206,890,204,156,162,227,166,199
+ Preferred Equity and Hybrid Capital,40,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,1722,1805,1963,1953,10521,9344,10428,10114,11495,12508
Enterprise Value,19266,26855,25967,26059,48812,45465,63594,75008,102824,73748
Total Capital,3649,4345,5307,6119,16141,15709,17914,11048,13708,16122
Total Debt/Capital (%),47.18,41.56,36.98,31.91,65.18,59.48,58.21,91.54,83.86,77.58
Total Debt / EV,0.09,0.07,0.08,0.07,0.22,0.21,0.16,0.13,0.11,0.17
EV/Sales,1.89,2.41,2.29,2.20,3.26,2.59,3.55,4.09,5.16,3.33
EV/EBITDA,14.41,17.43,14.08,13.29,21.40,17.07,21.03,21.60,31.80,20.63
EV/EBIT,16.77,20.02,15.78,14.78,27.28,22.00,25.97,25.94,38.65,24.64
EV/Cash Flow to Firm,17.09,23.86,17.43,18.38,22.22,20.27,24.53,20.38,40.77,33.12
EV/Free Cash Flow to Firm,14.89,20.25,15.06,15.73,20.17,18.23,21.76,18.83,35.53,25.69
Diluted Market Cap,18781,25983,24677,25393,38924,37005,54081,66854,93581,62133
Diluted Enterprise Value,19798,27748,26434,26455,49240,46194,64347,76741,104911,74442
EV per Share,64.14,94.52,93.83,93.39,173.31,162.75,230.05,279.18,393.74,284.88
TTM Sales,10186,11130,11339,11856,14984,17534,17901,18362,19945,22149
TTM EBITDA,1337,1540,1844,1961,2281,2663,3023,3473,3233,3575
TTM Operating Income,1149,1342,1646,1763,1789,2067,2448,2891,2661,2994
TTM Cash Flow to Firm,1127,1126,1490,1418,2197,2243,2593,3680,2522,2227
TTM Free Cash Flow to Firm,1294,1326,1724,1657,2419,2494,2922,3984,2894,2871
