,2019,2020,2021,2022
Sales/Revenue/Turnover,5562,5999,6636,7263
+ Sales & Services Revenue,5562,5999,6636,7263
- Cost of Revenue,2810,3074,3472,3752
+ Cost of Goods & Services,2810,3074,3472,3752
Gross Profit,2752,2924,3163,3512
+ Other Operating Income,0,0,0,0
- Operating Expenses,1586,1809,2043,2285
"+ Selling, General & Admin",1586,1809,2043,2285
+ Research & Development,0,0,0,0
+ Other Operating Expense,0,0,0,0
Operating Income (Loss),1166,1115,1120,1226
- Non-Operating (Income) Loss,473,599,511,397
"+ Interest Expense, Net",452,398,333,320
+ Interest Expense,480,406,336,356
- Interest Income,28,9,3,36
+ Other Non-Op (Income) Loss,21,201,178,77
Pretax Income,693,516,609,829
- Income Tax Expense (Benefit),185,146,109,125
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,507,370,500,705
- Net Extraordinary Losses (Gains),0,1,-1,0
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,0,1,-1,0
Income (Loss) Incl. MI,508,369,501,704
- Minority Interest,0,0,0,0
"Net Income, GAAP",507,370,500,704
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",507,370,500,704
Basic Weighted Avg Shares,84,88,90,92
"Basic EPS, GAAP",6.03,4.22,5.57,7.69
Basic EPS from Cont Ops,6.03,4.22,5.57,7.69
Diluted Weighted Avg Shares,85,88,90,92
"Diluted EPS, GAAP",5.99,4.18,5.53,7.67
Diluted EPS from Cont Ops,5.99,4.19,5.53,7.67
EBITDA,2451,2542,2781,2966
EBITDA Margin (%),44.07,42.37,41.90,40.83
EBITA,1166,1115,1120,1226
EBIT,1166,1115,1120,1226
Gross Margin (%),49.48,48.75,47.67,48.35
Operating Margin (%),20.96,18.59,16.88,16.88
Profit Margin (%),9.12,6.16,7.54,9.70
Sales per Employee,663898,599076,606317,600405
Dividend per Share,9.94,10.81,11.62,12.57
Depreciation Expense,1285,1427,1661,1739
