,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,21604,28579,34234,41935
- Cash & Cash Equivalents,0,0,2128,1764,3526,4459,3191
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,265,246,239,239,239
+ Total Debt,0,0,2068,122,1105,1117,1307
Enterprise Value,0,0,200,20203,26128,31045,40166
Total Capital,0,0,2339,-50,1351,1887,1803
Total Debt/Capital (%),0,0,88.41,-244.00,81.79,59.19,72.49
Total Debt / EV,0,0,10.34,0.01,0.04,0.04,0.03
EV/Sales,0,0,0.01,1.46,1.84,1.98,2.30
EV/EBITDA,0,0,0.05,9.25,12.93,12.13,12.75
EV/EBIT,0,0,0.16,34.59,30.99,23.57,20.83
EV/Cash Flow to Firm,0,0,0.35,17.03,12.36,11.29,42.76
EV/Free Cash Flow to Firm,0,0,0.10,8.60,10.09,9.34,26.01
Diluted Market Cap,0,0,0,21631,28876,34944,42586
Diluted Enterprise Value,0,0,205,20235,26694,31841,40941
EV per Share,0,0,0.27,26.99,35.14,42.73,56.30
TTM Sales,14041,14240,14287,13846,14217,15655,17455
TTM EBITDA,1133,458,4080,2183,2020,2560,3151
TTM Operating Income,886,188,1290,584,843,1317,1928
TTM Cash Flow to Firm,207,-508,566,1186,2114,2750,939
TTM Free Cash Flow to Firm,207,-508,2067,2349,2589,3323,1544
