,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,42.26,19.71,36.94
Price/Earnings Average,0,0,0,-21.57,32.26,18.74,36.27
Price/Earnings High,0,0,0,-25.62,44.23,20.91,43.00
Price/Earnings Low,0,0,0,-18.84,22.41,15.29,27.49
Price/Book Value,0,0,0,-51.68,4082.65,64.47,163.17
Price/Book Value Average,0,0,0,-49.43,3116.65,61.30,160.21
Price/Book Value High,0,0,0,-58.70,4272.76,68.38,189.96
Price/Book Value Low,0,0,0,-43.16,2164.52,49.99,121.42
Price/Tangible Book Value,0,0,0,7.44,7.06,6.26,6.72
Price/Tangible Book Value Average,0,0,0,7.12,5.39,5.95,6.60
Price/Tangible Book Value High,0,0,0,8.46,7.39,6.64,7.82
Price/Tangible Book Value Low,0,0,0,6.22,3.74,4.85,5.00
Price/Sales,0,0,0,1.56,2.02,2.21,2.43
Price/Sales Average,0,0,0,1.49,1.55,2.11,2.38
Price/Sales High,0,0,0,1.77,2.12,2.35,2.83
Price/Sales Low,0,0,0,1.30,1.07,1.72,1.81
Price/Cash Flow,0,0,0,20.22,13.94,12.72,48.59
Price/Cash Flow Average,0,0,0,19.33,10.64,12.09,47.71
Price/Cash Flow High,0,0,0,22.96,14.59,13.49,56.56
Price/Cash Flow Low,0,0,0,16.88,7.39,9.86,36.16
Price/Free Cash Flow,0,0,0,9.69,11.37,10.59,28.83
Price/Free Cash Flow Average,0,0,0,9.26,8.68,10.07,28.31
Price/Free Cash Flow High,0,0,0,11.00,11.90,11.23,33.57
Price/Free Cash Flow Low,0,0,0,8.09,6.03,8.21,21.46
EV/Sales,0,0,0.01,1.46,1.84,1.98,2.30
EV/Sales Average,0,0,0.01,1.39,1.38,1.88,2.26
EV/Sales High,0,0,0.01,1.67,1.95,2.12,2.70
EV/Sales Low,0,0,0.01,1.20,0.91,1.50,1.69
EV/EBITDA,0,0,0.05,9.25,12.93,12.13,12.75
EV/EBITDA Average,0,0,0.05,8.83,9.72,11.50,12.54
EV/EBITDA High,0,0,0.05,10.60,13.73,12.97,14.97
EV/EBITDA Low,0,0,0.05,7.62,6.42,9.16,9.38
EV/EBIT,0,0,0.16,34.59,30.99,23.57,20.83
EV/EBIT Average,0,0,0.16,32.99,23.29,22.36,20.50
EV/EBIT High,0,0,0.16,39.63,32.89,25.22,24.47
EV/EBIT Low,0,0,0.16,28.50,15.39,17.80,15.33
Last Price,0,0,0,28.86,38.44,47.12,58.78
High Price,0,0,0,32.78,40.23,49.98,68.43
Low Price,0,0,0,24.10,20.38,36.54,43.74
Enterprise Value,0,0,200,20203,26128,31045,40166
Enterprise Value Average,0,0,205,19265,19635,29447,39528
Enterprise Value High,0,0,205,23142,27727,33209,47174
Enterprise Value Low,0,0,205,16645,12970,23444,29560
