,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,-166366.67,0,0,653.90,291.12
Return on Assets (%),0,0,-23.28,-2.25,1.60,4.14,2.70
Return on Capital (%),0,0,0,0,0,109.47,65.22
Return on Invested Capital (%),0,0,0,0,0,3.85,6.12
Gross Margin (%),40.24,41.00,40.36,38.07,40.16,41.11,40.21
EBITDA Margin (%),8.07,3.22,28.56,15.77,14.21,16.35,18.05
Operating Margin (%),6.31,1.32,9.03,4.22,5.93,8.41,11.05
Incremental Operating Margin (%),0,-350.75,2344.68,160.09,69.81,32.96,33.94
Pretax Margin (%),1.84,-2.63,-31.88,-2.28,4.75,14.99,8.17
Profit Margin (%),3.58,17.79,-34.93,-6.93,4.79,11.24,6.57
Net Income to Common Margin (%),3.58,17.79,-34.93,-6.93,4.79,11.24,6.57
Effective Tax Rate (%),0,0,0,0,0,22.34,14.73
Dvd Payout Ratio (%),0,0,-56.88,-202.78,50.00,21.67,34.07
Sustainable Growth Rate (%),0,0,-260999.72,0,0,512.20,191.94
