,2019,2020,2021,2022
Sales/Revenue/Turnover,1460,1496,1441,1607
+ Sales & Services Revenue,1460,1496,1441,1607
- Cost of Revenue,431,475,481,508
+ Cost of Goods & Services,431,475,481,508
Gross Profit,1030,1021,959,1099
+ Other Operating Income,0,0,0,0
- Operating Expenses,538,591,572,596
"+ Selling, General & Admin",54,65,52,57
+ Research & Development,0,0,0,0
+ Other Operating Expense,484,525,520,539
Operating Income (Loss),492,430,387,503
- Non-Operating (Income) Loss,26,-171,-144,81
"+ Interest Expense, Net",170,169,94,177
+ Interest Expense,209,210,192,197
- Interest Income,39,41,99,20
+ Other Non-Op (Income) Loss,-144,-340,-238,-96
Pretax Income,466,601,531,423
- Income Tax Expense (Benefit),1,2,16,-10
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,464,599,516,433
- Net Extraordinary Losses (Gains),50,61,54,49
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,50,61,54,49
Income (Loss) Incl. MI,414,538,461,384
- Minority Interest,-25,-30,-27,-25
"Net Income, GAAP",439,569,489,408
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",439,569,489,408
Basic Weighted Avg Shares,66,65,65,65
"Basic EPS, GAAP",6.67,8.69,7.51,6.27
Basic EPS from Cont Ops,7.05,9.16,7.93,6.65
Diluted Weighted Avg Shares,66,66,65,65
"Diluted EPS, GAAP",6.66,8.68,7.51,6.27
Diluted EPS from Cont Ops,7.04,9.14,7.92,6.65
EBITDA,975,955,907,1043
EBITDA Margin (%),66.79,63.87,62.98,64.89
EBITA,492,430,387,503
EBIT,492,430,387,503
Gross Margin (%),70.51,68.25,66.58,68.39
Operating Margin (%),33.66,28.74,26.88,31.32
Profit Margin (%),30.08,38.03,33.91,25.41
Sales per Employee,801402,831433,819895,906780
Dividend per Share,8.03,8.19,8.35,8.70
Depreciation Expense,484,525,520,539
