,2019,2020,2021,2022
+ Net Income,464,599,516,433
+ Depreciation & Amortization,484,525,520,539
+ Non-Cash Items,-67,-308,-164,6
+ Stock-Based Compensation,7,8,7,7
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,7,2,0,0
+ Other Non-Cash Adj,-81,-318,-171,-1
+ Chg in Non-Cash Work Cap,38,-13,33,-2
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,6,-4,5,5
+ Inc (Dec) in Accts Payable,30,-10,22,-17
+ Inc (Dec) in Other,2,1,6,10
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,919,803,905,976
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,23,0,0,0
+ Disp of Fixed Prod Assets,23,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-102,-90,-121,-163
+ Acq of Fixed Prod Assets,-102,-90,-121,-163
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,101,30,-7,53
+ Dec in LT Investment,148,113,17,71
+ Inc in LT Investment,-46,-83,-24,-18
+ Net Cash From Acq & Div,-402,-114,-306,-163
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-402,-114,-306,-163
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-148,-243,37,419
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-528,-417,-397,146
+ Dividends Paid,-528,-536,-543,-566
+ Net Cash From Debt,74,482,33,-354
+ Cash From Debt,2985,2491,1796,1376
+ Repayments of Debt,-2911,-2010,-1763,-1730
+ Cash (Repurchase) of Equity,16,-270,-10,-190
+ Increase in Capital Stock,73,0,0,0
+ Decrease in Capital Stock,-57,-270,-10,-190
+ Other Financing Activities,-22,-59,-14,-28
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-462,-383,-533,-1138
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,-70,3,-25,-16
EBITDA,975,955,907,1043
EBITDA Margin (%),66.79,63.87,62.98,64.89
Net Cash Paid for Acquisitions,402,114,306,163
Free Cash Flow,817,713,784,812
Free Cash Flow to Firm,1026,922,971,0
Free Cash Flow to Equity,0,1195,817,459
Free Cash Flow per Basic Share,12.41,10.89,12.05,12.48
Price/Free Cash Flow,19.43,0,0,12.11
Cash Flow to Net Income,2.09,1.41,1.85,2.39
