,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,325,691,349,693,729,445,346,347,348,748
ST Debt,325,342,0,50,85,100,0,0,0,100
LT Debt,0,349,349,643,644,345,346,347,348,648
Total Debt/EBITDA,1.06,2.08,0.85,1.71,1.62,0.85,0.55,0.43,0.38,0.62
Net Debt/EBITDA,-0.69,-0.72,-0.66,0.56,0.09,-0.17,-0.58,-0.72,-0.82,-0.11
Total Debt/EBIT,1.57,3.19,1.20,2.43,2.19,1.09,0.69,0.53,0.45,0.70
Net Debt/EBIT,-1.02,-1.11,-0.92,0.80,0.12,-0.22,-0.72,-0.89,-0.95,-0.13
EBITDA to Interest Expense,8.12,9.75,14.42,17.13,17.49,22.73,33.13,38.79,53.52,52.72
EBITDA-CapEx/Interest Expense,6.93,8.58,12.83,14.86,15.23,20.08,29.17,34.22,49.58,47.31
EBIT to Interest Expense,5.51,6.36,10.24,12.08,12.99,17.60,26.58,31.56,45.82,46.82
Interest Expense,38,34,28,24,26,23,19,21,17,23
Common Equity/Total Assets,52.37,47.51,76.10,93.33,89.76,109.73,113.42,115.63,125.71,129.66
Long-Term Debt/Equity (%),0,26.15,25.35,86.75,65.14,26.80,16.45,13.91,12.68,23.61
Long-Term Debt/Capital (%),0,15.73,16.31,24.28,22.22,10.95,8.33,7.06,5.93,8.75
Long-Term Debt/Total Assets (%),0,10.86,14.84,30.69,26.64,13.99,10.31,8.78,7.92,12.62
Total Debt/Equity (%),28.10,51.83,25.35,93.49,73.73,34.56,16.45,13.91,12.68,27.25
Total Debt/Capital (%),20.34,31.19,16.31,26.16,25.15,14.12,8.33,7.06,5.93,10.10
Total Debt/Total Assets (%),13.38,21.53,14.84,33.07,30.16,18.04,10.31,8.78,7.92,14.56
Net Debt to Equity,-18.29,-18.07,-19.47,30.77,4.17,-6.83,-17.08,-23.33,-27.05,-4.89
Net Debt/Capital (%),-19.94,-18.77,-17.61,10.45,1.87,-3.36,-10.42,-14.59,-15.53,-2.06
EBITDA,305,333,408,405,449,526,624,805,909,1209
EBITDA-CapEx,260,293,363,352,391,465,549,710,842,1085
Operating Income (Loss),207,217,290,286,333,407,500,655,778,1074
