,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-352,132,-6436,-891,-1548,460,4120,510,2187,1221
+ Depreciation & Amortization,1341,1633,1692,1507,1215,552,463,559,942,846
+ Non-Cash Items,696,261,5073,674,2050,244,347,376,479,917
+ Stock-Based Compensation,38,42,41,10,35,25,20,22,21,28
+ Deferred Income Taxes,-67,-154,1326,-43,91,5,-3353,228,604,0
+ Asset Impairment Charge,558,97,5086,1186,1788,114,113,93,544,206
+ Other Non-Cash Adj,167,276,-1380,-479,136,100,3567,33,-690,683
+ Chg in Non-Cash Work Cap,-415,-516,918,311,-292,-253,-3525,392,-3115,-2624
+ (Inc) Dec in Accts Receiv,-224,-2,136,-12,-99,-83,5,0,-1232,-1560
+ (Inc) Dec in Inventories,11,-245,-26,134,143,31,22,27,-61,-252
+ (Inc) Dec in Prepaid Assets,-22,182,8,-39,12,-41,29,4,31,17
+ Inc (Dec) in Accts Payable,161,-38,-227,-66,17,-53,-218,-98,421,1266
+ Inc (Dec) in Other,-341,-413,1027,294,-365,-107,-3363,459,-2274,-2095
+ Net Cash From Disc Ops,0,0,62,471,-38,374,8,0,0,0
Cash from Operating Activities,1270,1510,1309,2072,1387,1377,1413,1837,493,360
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-1987,-941,-1029,-546,-254,-388,-228,-240,-269,-379
+ Acq of Fixed Prod Assets,-1987,-925,-1029,-545,-254,-388,-228,-240,-269,-373
+ Acq of Intangible Assets,0,-16,0,-1,0,0,0,0,0,-6
+ Net Change in LT Investment,-26,-19,2,-41,-11,-59,-35,-53,-41,-6
+ Dec in LT Investment,488,600,631,510,501,513,381,439,710,448
+ Inc in LT Investment,-514,-619,-629,-551,-512,-572,-416,-492,-751,-454
+ Net Cash From Acq & Div,-494,-3039,-426,-243,-81,-282,-446,2,0,0
+ Cash from Divestitures,0,0,0,0,0,0,0,2,0,0
+ Cash for Acq of Subs,-494,-3039,-426,-243,-81,-282,-446,0,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-21,1096,-32,6,-720,524,1265,-203,-2729,53
+ Net Cash From Disc Ops,0,0,-259,-388,-53,-725,-2,0,0,0
Cash from Investing Activities,-2528,-2903,-1485,-824,-1066,-205,556,-494,-3039,-332
+ Dividends Paid,-154,-196,-201,-76,-38,-37,-32,-295,-319,-332
+ Net Cash From Debt,842,736,-595,-386,-78,-634,-655,2816,-761,-5
+ Cash From Debt,1777,4563,1004,5527,2270,1100,1916,3234,1100,0
+ Repayments of Debt,-935,-3827,-1599,-5913,-2348,-1734,-2571,-418,-1861,-5
+ Cash (Repurchase) of Equity,-9,-18,-436,1,-2,-1229,-1434,-228,-47,-606
+ Increase in Capital Stock,16,21,1,1,0,21,3,1,1,0
+ Decrease in Capital Stock,-25,-39,-437,0,-2,-1250,-1437,-229,-48,-606
+ Other Financing Activities,748,743,800,-333,-367,374,-27,-89,855,1986
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,1427,1265,-432,-794,-485,-1526,-2148,2204,-272,1043
Effect of Foreign Exchange Rates,-2,-10,10,1,-1,1,0,-2,-2,-3
Net Changes in Cash,169,-128,-608,454,-164,-354,-179,3547,-2818,1071
EBITDA,2271,3066,2671,2745,2278,1691,1774,1736,4673,3070
EBITDA Margin (%),20.11,19.32,18.20,22.22,21.43,17.84,18.06,19.09,17.31,9.73
Net Cash Paid for Acquisitions,494,3039,426,243,81,282,446,-2,0,0
Free Cash Flow,-717,569,280,1526,1133,989,1185,1597,224,-19
Free Cash Flow to Firm,0,1663,0,0,0,1465,0,1866,595,287
Free Cash Flow to Equity,116,1307,-324,834,1055,355,530,4413,-537,-18
Free Cash Flow per Basic Share,-2.22,1.70,0.85,4.83,3.57,3.25,4.52,6.52,0.91,-0.08
Price/Free Cash Flow,2.84,3.83,1.56,1.48,5.50,6.74,6.31,4.31,13.80,10.16
Cash Flow to Net Income,-3.29,11.27,-0.21,-2.68,-0.64,5.14,0.32,3.60,0.23,0.29
