,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,694,623,751,741,824,843,1024,1246
+ Sales & Services Revenue,694,623,751,741,824,843,1024,1246
- Cost of Revenue,413,396,458,426,456,501,642,773
+ Cost of Goods & Services,413,396,458,426,456,501,642,773
Gross Profit,281,227,293,315,368,341,382,473
+ Other Operating Income,0,0,0,0,0,0,0,0
- Operating Expenses,246,231,253,259,296,334,418,499
"+ Selling, General & Admin",246,225,253,259,296,334,418,499
+ Research & Development,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,6,0,0,0,0,0,0
Operating Income (Loss),35,-4,40,56,72,8,-35,-26
- Non-Operating (Income) Loss,116,94,95,83,38,28,55,37
"+ Interest Expense, Net",88,87,87,83,32,25,36,29
+ Interest Expense,88,87,87,83,32,25,36,29
- Interest Income,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,28,7,7,0,6,3,19,9
Pretax Income,-80,-99,-54,-27,34,-20,-90,-63
- Income Tax Expense (Benefit),9,7,-45,8,-44,-16,-15,11
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-89,-105,-10,-35,79,-4,-75,-73
- Net Extraordinary Losses (Gains),16,-12,-2,25,0,0,0,0
+ Discontinued Operations,-16,13,-1,-26,0,0,0,0
+ Extraord. & Accounting Changes,32,-25,-1,51,0,0,0,0
Income (Loss) Incl. MI,-105,-93,-8,-60,79,-4,-75,-73
- Minority Interest,0,0,1,1,0,0,0,0
"Net Income, GAAP",-105,-93,-9,-61,79,-4,-75,-73
- Preferred Dividends,0,14,21,8,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-105,-107,-30,-68,79,-4,-75,-73
Basic Weighted Avg Shares,65,65,65,114,142,147,150,153
"Basic EPS, GAAP",-1.60,-1.64,-0.45,-0.60,0.55,-0.03,-0.50,-0.48
Basic EPS from Cont Ops,-1.36,-1.61,-0.15,-0.31,0.55,-0.03,-0.50,-0.48
Diluted Weighted Avg Shares,133,133,133,114,149,147,150,153
"Diluted EPS, GAAP",-0.79,-0.80,-0.22,-0.60,0.53,-0.03,-0.50,-0.48
Diluted EPS from Cont Ops,-0.67,-0.79,-0.07,-0.31,0.53,-0.03,-0.50,-0.48
EBITDA,91,49,98,113,129,60,42,63
EBITDA Margin (%),13.16,7.86,13.04,15.22,15.70,7.07,4.10,5.07
EBITA,35,-4,40,56,72,8,-35,-26
EBIT,35,-4,40,56,72,8,-35,-26
Gross Margin (%),40.47,36.41,39.03,42.51,44.68,40.51,37.33,37.97
Operating Margin (%),5.09,-0.67,5.33,7.57,8.77,0.93,-3.47,-2.07
Profit Margin (%),-15.09,-14.90,-1.23,-8.18,9.55,-0.47,-7.36,-5.89
Sales per Employee,0,0,178229,166674,164458,141028,137255,146165
Dividend per Share,0,0,0,0,0,0,0,0
Depreciation Expense,56,53,58,57,57,52,78,89
