,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7360,9518,10359,13127,13243,15020,20919,30420,30625,16063
- Cash & Cash Equivalents,416,191,224,597,448,721,1798,1366,563,548
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,191,207,10,106,105,104,70,62,58,66
+ Total Debt,3605,3169,5132,7532,6971,6729,7817,7800,7737,8948
Enterprise Value,10741,12702,15276,20168,19871,21132,27008,36916,37857,24529
Total Capital,8789,8854,10661,13415,13147,13331,14868,15221,15858,17583
Total Debt/Capital (%),41.02,35.79,48.13,56.15,53.02,50.48,52.58,51.24,48.79,50.89
Total Debt / EV,0.34,0.25,0.34,0.37,0.35,0.32,0.29,0.21,0.20,0.36
EV/Sales,1.27,1.48,1.91,2.21,1.81,1.82,2.35,3.13,2.74,1.60
EV/EBITDA,9.15,10.58,14.07,16.10,11.34,11.56,14.57,19.10,17.75,12.53
EV/EBIT,12.29,13.82,19.10,25.21,19.42,18.77,22.97,29.18,26.42,19.09
EV/Cash Flow to Firm,11.01,11.19,13.51,30.31,11.79,11.88,14.78,22.14,19.04,45.52
EV/Free Cash Flow to Firm,7.93,8.32,9.21,15.86,8.87,8.14,11.13,13.28,10.19,11.20
Diluted Market Cap,7728,9897,10338,12119,13512,15784,21917,30905,31653,16365
Diluted Enterprise Value,11109,13081,15256,19160,20140,21896,28006,37401,38885,24831
EV per Share,37.79,46.37,54.07,57.67,56.79,63.03,83.20,112.69,117.99,78.09
TTM Sales,8468,8570,7997,9116,10983,11635,11474,11781,13811,15349
TTM EBITDA,1174,1200,1085,1253,1752,1828,1854,1933,2133,1957
TTM Operating Income,874,919,800,800,1023,1126,1176,1265,1433,1285
TTM Cash Flow to Firm,976,1135,1130,665,1685,1779,1828,1667,1988,539
TTM Free Cash Flow to Firm,1354,1526,1658,1271,2241,2595,2426,2780,3714,2190
