,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Shares Outstanding,222,209,195,187,180,167,163,163,161,158
Diluted Weighted Avg Shares,228,219,206,192,184,176,167,165,165,160
Basic Weighted Avg Shares,224,216,203,190,183,174,165,163,162,159
Revenue per Share,56.24,66.18,74.53,83.40,93.73,104.17,123.27,116.13,196.42,186.93
EBITDA per Share,7.82,3.46,3.96,4.54,4.88,5.35,6.06,4.43,5.43,0.21
Operating Income per Share,7.37,2.92,3.28,3.65,3.90,4.30,4.75,2.94,3.75,-1.47
"Basic EPS, GAAP",2.20,2.77,3.07,3.29,3.64,4.83,5.39,4.58,7.09,3.05
Basic EPS from Cont Ops,2.20,2.77,3.07,3.29,3.64,4.83,5.39,4.58,7.09,3.05
"Diluted EPS, GAAP",2.16,2.73,3.03,3.26,3.60,4.79,5.33,4.52,6.97,3.03
Diluted EPS from Cont Ops,2.16,2.73,3.03,3.26,3.60,4.79,5.33,4.52,6.97,3.03
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Cash Flow per Share,-2.74,-4.49,-0.73,-2.46,-0.44,0.93,-1.44,4.09,-15.70,8.08
Free Cash Flow per Basic Share,-4.13,-5.93,-2.28,-4.66,-2.07,-0.81,-3.45,3.08,-17.60,5.42
Cash & Equivalents per Share,2.83,0.13,0.19,0.21,0.25,0.28,0.36,0.81,0.64,1.99
Book Value per Share,10.49,10.05,9.47,10.60,11.89,13.06,15.76,18.20,22.38,24.05
Tangible Book Value per Share,14.96,15.11,14.92,16.66,18.45,20.04,23.11,26.74,31.63,34.61
