,2019,2020,2021,2022
+ Net Income,404,827,654,671
+ Depreciation & Amortization,545,698,821,928
+ Non-Cash Items,-228,-572,-370,-181
+ Stock-Based Compensation,44,44,49,58
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,12,48,53,65
+ Other Non-Cash Adj,-284,-664,-471,-304
+ Chg in Non-Cash Work Cap,-37,-70,-95,-123
+ (Inc) Dec in Accts Receiv,-1,3,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,39,-1,61,78
+ Inc (Dec) in Other,-75,-72,-156,-200
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,684,883,1010,1294
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,0,0,0,0
+ Acq of Fixed Prod Assets,0,0,0,0
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-62,-34,16,-45
+ Dec in LT Investment,129,141,425,198
+ Inc in LT Investment,-191,-175,-409,-243
+ Net Cash From Acq & Div,-102,17,372,-1
+ Cash from Divestitures,0,20,395,0
+ Cash for Acq of Subs,-102,-3,-23,-1
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-3478,-3261,-7496,-5035
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-3641,-3278,-7107,-5080
+ Dividends Paid,-451,-533,-656,-758
+ Net Cash From Debt,1291,797,1256,1374
+ Cash From Debt,10010,27937,36226,17666
+ Repayments of Debt,-8719,-27140,-34970,-16292
+ Cash (Repurchase) of Equity,1216,2316,3529,2346
+ Increase in Capital Stock,1216,2316,3529,2346
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,871,171,1787,1267
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,2927,2750,5916,4230
Effect of Foreign Exchange Rates,1,0,-2,-1
Net Changes in Cash,-30,355,-181,444
EBITDA,977,1222,1339,1554
EBITDA Margin (%),63.80,64.81,63.34,60.03
Net Cash Paid for Acquisitions,102,-17,-372,1
Free Cash Flow,684,883,1010,1294
Free Cash Flow to Firm,858,1054,1152,1389
Free Cash Flow to Equity,0,1679,2266,2668
Free Cash Flow per Basic Share,6.09,7.00,6.88,8.01
Price/Free Cash Flow,26.59,0,0,18.19
Cash Flow to Net Income,1.88,1.14,1.77,2.48
